taxon_name,APC_name,genus,family
Acacia stricta,Acacia stricta (Andrews) Willd.,Acacia,Fabaceae
Allocasuarina torulosa,Allocasuarina torulosa (Aiton) L.A.S.Johnson,Allocasuarina,Casuarinaceae
Amphibromus neesii,Amphibromus neesii Steud.,Amphibromus,Poaceae
Aristida ramosa,Aristida ramosa R.Br.,Aristida,Poaceae
Arthropodium minus,Arthropodium minus R.Br.,Arthropodium,Asparagaceae
Arthropodium strictum,Arthropodium strictum R.Br.,Arthropodium,Asparagaceae
Asterolasia correifolia,Asterolasia correifolia (A.Juss.) Benth.,Asterolasia,Rutaceae
Astroloma humifusum,Astroloma humifusum (Cav.) R.Br.,Astroloma,Ericaceae
Austrostipa pubescens,Austrostipa pubescens (R.Br.) S.W.L.Jacobs & J.Everett,Austrostipa,Poaceae
Austrostipa scabra,Austrostipa scabra (Lindl.) S.W.L.Jacobs & J.Everett,Austrostipa,Poaceae
Austrostipa setacea,Austrostipa setacea (R.Br.) S.W.L.Jacobs & J.Everett,Austrostipa,Poaceae
Billardiera scandens,Billardiera scandens Sm.,Billardiera,Pittosporaceae
Bolboschoenus caldwellii,Bolboschoenus caldwellii (V.J.Cook) Soják,Bolboschoenus,Cyperaceae
Bothriochloa decipiens,Bothriochloa decipiens (Hack.) C.E.Hubb.,Bothriochloa,Poaceae
Brachyscome graminea,Brachyscome graminea (Labill.) F.Muell.,Brachyscome,Asteraceae
Cardamine lilacina,Cardamine lilacina Hook.,Cardamine,Brassicaceae
Cassytha glabella,Cassytha glabella R.Br.,Cassytha,Lauraceae
Commersonia dasyphylla,Commersonia dasyphylla Andrews,Commersonia,Malvaceae
Coronidium scorpioides,Coronidium scorpioides (Labill.) Paul G.Wilson,Coronidium,Asteraceae
Cyperus mirus,Cyperus mirus C.B.Clarke,Cyperus,Cyperaceae
Cyperus polystachyos,Cyperus polystachyos Rottb.,Cyperus,Cyperaceae
Deyeuxia quadriseta,Deyeuxia quadriseta (Labill.) Benth.,Deyeuxia,Poaceae
Dichelachne rara,Dichelachne rara (R.Br.) Vickery,Dichelachne,Poaceae
Digitaria parviflora,Digitaria parviflora (R.Br.) Hughes,Digitaria,Poaceae
Digitaria ramularis,Digitaria ramularis (Trin.) Henrard,Digitaria,Poaceae
Diuris sulphurea,Diuris sulphurea R.Br.,Diuris,Orchidaceae
Drosera peltata,Drosera peltata Thunb.,Drosera,Droseraceae
Dysphania littoralis,Dysphania littoralis R.Br.,Dysphania,Chenopodiaceae
Echinochloa telmatophila,Echinochloa telmatophila P.W.Michael & Vickery,Echinochloa,Poaceae
Einadia nutans,Einadia nutans (R.Br.) A.J.Scott,Einadia,Chenopodiaceae
Eleocharis acuta,Eleocharis acuta R.Br.,Eleocharis,Cyperaceae
Eragrostis benthamii,Eragrostis benthamii Mattei,Eragrostis,Poaceae
Eragrostis elongata,Eragrostis elongata (Willd.) J.Jacq.,Eragrostis,Poaceae
Eragrostis parviflora,Eragrostis parviflora (R.Br.) Trin.,Eragrostis,Poaceae
Eucalyptus sideroxylon,Eucalyptus sideroxylon A.Cunn. ex Woolls,Eucalyptus,Myrtaceae
Euchiton japonicus,Euchiton japonicus (Thunb.) Holub,Euchiton,Asteraceae
Euphorbia drummondii,Euphorbia drummondii Boiss.,Euphorbia,Euphorbiaceae
Exocarpos strictus,Exocarpos strictus R.Br.,Exocarpos,Santalaceae
Gompholobium glabratum,Gompholobium glabratum DC.,Gompholobium,Fabaceae
Gonocarpus tetragynus,Gonocarpus tetragynus Labill.,Gonocarpus,Haloragaceae
Goodenia bellidifolia,Goodenia bellidifolia Sm.,Goodenia,Goodeniaceae
Goodenia ovata,Goodenia ovata Sm.,Goodenia,Goodeniaceae
Hovea longifolia,Hovea longifolia R.Br.,Hovea,Fabaceae
Hypericum japonicum,Hypericum japonicum Thunb.,Hypericum,Hypericaceae
Isotoma fluviatilis,Isotoma fluviatilis (R.Br.) F.Muell. ex Benth.,Isotoma,Campanulaceae
Jacksonia scoparia,Jacksonia scoparia R.Br.,Jacksonia,Fabaceae
Juncus continuus,Juncus continuus L.A.S.Johnson,Juncus,Juncaceae
Juncus homalocaulis,Juncus homalocaulis F.Muell. ex Benth.,Juncus,Juncaceae
Juncus mollis,Juncus mollis L.A.S.Johnson,Juncus,Juncaceae
Juncus polyanthemus,Juncus polyanthemus Buchenau,Juncus,Juncaceae
Juncus procerus,Juncus procerus E.Mey.,Juncus,Juncaceae
Juncus remotiflorus,Juncus remotiflorus L.A.S.Johnson,Juncus,Juncaceae
