species
Agapanthus africanus
Alternanthera sp. A Flora of New South Wales (M.Gray 5187) J.Palmer
Arthropodium sp. South-east Highlands (N.G.Walsh 811) Vic. Herbarium
Bidens alba
Bougainvillea sp.
Brassica × juncea
Campsis × tagliabuana
Campsis grandiflora
Canna sp.
Chascolytrum subaristatum
Clivia sp.
Crocosmia × crocosmiiflora
Cyperus sp.
Dracaena draco
Drosera lunata
Freesia leichtlinii subsp. leichtlinii ×  Freesia leichtlinii subsp. alba
Freesia sp.
Gladiolus sp.
Harpephyllum caffrum
Hesperocyparis lusitanica
Hippeastrum puniceum
Iris sp.
Ixia sp.
Juncus sp.
Lactuca virosa
Lagerstroemia indica
Lagerstroemia speciosa
Lolium sp.
Medicago sp.
Mentha × piperita
Microtis sp.
Morus nigra
Narcissus sp.
Oxalis sp.
Pelargonium × domesticum
Pelargonium sp.
Phalaris sp.
Phormium cookianum
Pistacia chinensis
Plantago sp.
Pontederia crassipes
Portulaca sp.
Prunus sp.
Rosa sp.
Rothmannia globosa
Senecio sp.
Sparaxis sp.
Syzygium floribundum
Trifolium sp.
Vinca sp.
Vincetoxicum barbatum
Vincetoxicum woollsii
