taxon_name,dispersal
Acacia stricta,zoochory
Acacia stricta,myrmecochory
Allocasuarina torulosa,anemochory
Allocasuarina torulosa,anemochory
Allocasuarina torulosa,anemochory
Allocasuarina torulosa,anemochory
Allocasuarina torulosa,anemochory
Amphibromus neesii,undefined
Amphibromus neesii,epizoochory
Aristida ramosa,zoochory
Aristida ramosa,epizoochory
Aristida ramosa,epizoochory myrmecochory
Aristida ramosa,zoochory
Aristida ramosa,epizoochory
Aristida ramosa,epizoochory
Arthropodium minus,undefined
Arthropodium minus,barochory
Arthropodium minus,barochory
Arthropodium strictum,barochory
Arthropodium strictum,undefined
Arthropodium strictum,barochory
Arthropodium strictum,barochory
Arthropodium strictum,barochory
Astroloma humifusum,endozoochory
Astroloma humifusum,endozoochory
Astroloma humifusum,endozoochory
Astroloma humifusum,endozoochory
Astroloma humifusum,endozoochory
Astroloma humifusum,endozoochory
Astroloma humifusum,endozoochory
Austrostipa pubescens,epizoochory
Austrostipa pubescens,epizoochory
Austrostipa scabra,zoochory
Austrostipa scabra,epizoochory
Austrostipa scabra,epizoochory
Austrostipa setacea,epizoochory
Austrostipa setacea,epizoochory
Austrostipa setacea,epizoochory
Austrostipa setacea,epizoochory
Billardiera scandens,endozoochory
Billardiera scandens,zoochory
Billardiera scandens,endozoochory
Billardiera scandens,endozoochory
Billardiera scandens,endozoochory
Billardiera scandens,endozoochory
Billardiera scandens,endozoochory
Billardiera scandens,endozoochory
Billardiera scandens,zoochory
Billardiera scandens,epizoochory
Billardiera scandens,endozoochory
Billardiera scandens,endozoochory
Billardiera scandens,endozoochory
Billardiera scandens,endozoochory
Billardiera scandens,endozoochory
Bolboschoenus caldwellii,endozoochory
Bolboschoenus caldwellii,endozoochory
Bolboschoenus caldwellii,barochory
Bothriochloa decipiens,anemochory
Bothriochloa decipiens,epizoochory
Brachyscome graminea,zoochory
Brachyscome graminea,zoochory
Brachyscome graminea,zoochory
Brachyscome graminea,zoochory
Brachyscome graminea,zoochory
Brachyscome graminea,zoochory
Cardamine lilacina,ballistic
Cardamine lilacina,zoochory
Cardamine lilacina,zoochory
Cardamine lilacina,zoochory
Cardamine lilacina,zoochory
Cardamine lilacina,zoochory
Cardamine lilacina,zoochory
Cardamine lilacina,zoochory
Cardamine lilacina,zoochory
Cassytha glabella,endozoochory
Cassytha glabella,endozoochory
Cassytha glabella,zoochory
Cassytha glabella,endozoochory
Cassytha glabella,endozoochory
Commersonia dasyphylla,myrmecochory
Commersonia dasyphylla,epizoochory
Coronidium scorpioides,anemochory
Coronidium scorpioides,anemochory
