taxon_name,dispersal
Acacia binervia,zoochory
Acacia brownii,zoochory
Acacia brownii,zoochory
Acacia decurrens,myrmecochory
Acacia decurrens,myrmecochory
Acacia falcata,zoochory
Acacia longifolia,myrmecochory
Acacia longifolia,myrmecochory
Acacia longifolia,zoochory
Acacia longifolia,myrmecochory
Acacia parramattensis,myrmecochory
Acacia parramattensis,zoochory
Acacia ulicifolia,zoochory
Acacia ulicifolia,barochory
Acacia ulicifolia,myrmecochory
Acacia ulicifolia,zoochory
Acacia ulicifolia,zoochory
Acacia ulicifolia,myrmecochory
Adiantum aethiopicum,barochory
Adiantum aethiopicum,anemochory
Adiantum aethiopicum,anemochory
Adiantum aethiopicum,anemochory
Alternanthera denticulata,hydrochory
Alternanthera denticulata,hydrochory
Alternanthera denticulata,anemochory
Amyema gaudichaudii,endozoochory
Amyema miquelii,zoochory
Amyema miquelii,endozoochory
Amyema miquelii,endozoochory
Angophora floribunda,barochory
Angophora floribunda,anemochory
Angophora floribunda,zoochory
Anthosachne scabra,zoochory
Anthosachne scabra,epizoochory
Anthosachne scabra,epizoochory
Anthosachne scabra,epizoochory myrmecochory
Anthosachne scabra,anemochory
Anthosachne scabra,epizoochory
Anthosachne scabra,epizoochory
Anthosachne scabra,epizoochory
Anthosachne scabra,epizoochory
Anthosachne scabra,epizoochory
Anthosachne scabra,epizoochory
Anthosachne scabra,epizoochory
Anthosachne scabra,epizoochory
Anthosachne scabra,epizoochory
Anthosachne scabra,epizoochory
Aristida vagans,zoochory
Aristida vagans,epizoochory myrmecochory
Aristida vagans,zoochory
Aristida vagans,epizoochory
Arthropodium sp. South-east Highlands (N.G.Walsh 811),barochory
Arthropodium sp. South-east Highlands (N.G.Walsh 811),barochory
Asperula conferta,undefined
Asperula conferta,undefined
Asperula conferta,barochory
Asperula conferta,zoochory
Asperula conferta,barochory
Austrostipa rudis,barochory
Austrostipa rudis,epizoochory myrmecochory
Austrostipa rudis,epizoochory
Austrostipa rudis,epizoochory
Boronia polygalifolia,ballistic
Bossiaea buxifolia,zoochory
Bossiaea prostrata,undefined
Bossiaea prostrata,myrmecochory
Bossiaea prostrata,zoochory
Bossiaea prostrata,myrmecochory
Bothriochloa macra,zoochory
Bothriochloa macra,epizoochory
Bothriochloa macra,epizoochory
