taxon_name,resprouting_capacity
Acacia binervia,fire_killed
Acacia binervia,fire_killed
Acacia binervia,fire_killed
Acacia binervia,fire_killed
Acacia brownii,resprouts
Acacia brownii,fire_killed resprouts
Acacia brownii,fire_killed
Acacia brownii,fire_killed
Acacia decurrens,fire_killed
Acacia decurrens,fire_killed
Acacia decurrens,fire_killed
Acacia decurrens,fire_killed
Acacia decurrens,resprouts
Acacia falcata,fire_killed
Acacia falcata,fire_killed
Acacia falcata,fire_killed
Acacia falcata,fire_killed
Acacia longifolia,fire_killed
Acacia longifolia,fire_killed
Acacia longifolia,fire_killed
Acacia longifolia,fire_killed
Acacia longifolia,fire_killed
Acacia parramattensis,fire_killed
Acacia parramattensis,fire_killed
Acacia parramattensis,fire_killed
Acacia parramattensis,fire_killed
Acacia pubescens,fire_killed resprouts
Acacia ulicifolia,fire_killed
Acacia ulicifolia,fire_killed
Acacia ulicifolia,fire_killed
Acacia ulicifolia,fire_killed
Acacia ulicifolia,resprouts
Acacia ulicifolia,fire_killed
Acacia ulicifolia,fire_killed
Acacia ulicifolia,partial_resprouting
Acacia ulicifolia,fire_killed
Acacia ulicifolia,fire_killed
Adiantum aethiopicum,resprouts
Adiantum aethiopicum,resprouts
Adiantum aethiopicum,resprouts
Adiantum aethiopicum,resprouts
Adiantum aethiopicum,resprouts
Alternanthera denticulata,resprouts
Alternanthera denticulata,fire_killed
Alternanthera denticulata,fire_killed
Amyema gaudichaudii,fire_killed
Amyema miquelii,fire_killed
Amyema miquelii,fire_killed
Amyema miquelii,fire_killed
Amyema miquelii,fire_killed
Amyema miquelii,partial_resprouting
Amyema miquelii,resprouts
Amyema miquelii,fire_killed
Angophora floribunda,resprouts
Angophora floribunda,resprouts
Angophora floribunda,resprouts
Anthosachne scabra,resprouts
Anthosachne scabra,resprouts
Anthosachne scabra,resprouts
Anthosachne scabra,resprouts
Anthosachne scabra,resprouts
Anthosachne scabra,resprouts
Anthosachne scabra,resprouts
Anthosachne scabra,resprouts
Anthosachne scabra,resprouts
Anthosachne scabra,resprouts
Anthosachne scabra,resprouts
Anthosachne scabra,resprouts
Aristida vagans,resprouts
Aristida vagans,resprouts
Aristida vagans,resprouts
Arthropodium sp. South-east Highlands (N.G.Walsh 811),resprouts
Arthropodium sp. South-east Highlands (N.G.Walsh 811),resprouts
Arthropodium sp. South-east Highlands (N.G.Walsh 811),resprouts
Asperula conferta,fire_killed
Asperula conferta,resprouts
Asperula conferta,resprouts
Austrostipa rudis,resprouts
Austrostipa rudis,resprouts
Austrostipa rudis,resprouts
Austrostipa rudis,resprouts
Boronia polygalifolia,resprouts
Boronia polygalifolia,resprouts
Boronia polygalifolia,fire_killed resprouts
Bossiaea buxifolia,resprouts
Bossiaea buxifolia,resprouts
Bossiaea prostrata,fire_killed
Bossiaea prostrata,resprouts
Bossiaea prostrata,resprouts
Bothriochloa macra,resprouts
Bothriochloa macra,resprouts
Bothriochloa macra,resprouts
Brachychiton populneus,resprouts
Brachychiton populneus,resprouts
Brachychiton populneus,resprouts
Brachychiton populneus,resprouts
Brachyscome triloba,resprouts
Brachyscome triloba,fire_killed
Brachyscome triloba,resprouts
Brachyscome triloba,resprouts
Breynia oblongifolia,resprouts
Breynia oblongifolia,resprouts
Breynia oblongifolia,resprouts
Breynia oblongifolia,fire_killed resprouts
Breynia oblongifolia,fire_killed
Breynia oblongifolia,resprouts
Brunoniella australis,resprouts
Brunoniella australis,resprouts
Brunoniella australis,resprouts
Brunoniella pumilio,resprouts
Brunoniella pumilio,resprouts
Brunoniella pumilio,resprouts
Bursaria spinosa,resprouts
Bursaria spinosa,resprouts
Bursaria spinosa,resprouts
Bursaria spinosa,resprouts
Bursaria spinosa,resprouts
Bursaria spinosa,resprouts
Bursaria spinosa,resprouts
Caesia parviflora,resprouts
Caesia parviflora,resprouts
Caesia parviflora,resprouts
Caesia parviflora,resprouts
Caesia parviflora,resprouts
Caesia parviflora,resprouts
Callistemon linearis,resprouts
Callistemon linearis,resprouts
Callistemon linearis,resprouts
Callistemon linearis,resprouts
Callistemon linearis,resprouts
Callistemon linearis,resprouts
Callistemon linearis,resprouts
Callistemon linearis,resprouts
Callistemon pinifolius,resprouts
Callistemon pinifolius,resprouts
Callistemon salignus,resprouts
Callistemon salignus,resprouts
Calotis cuneifolia,fire_killed
Calotis cuneifolia,fire_killed
Calotis cuneifolia,resprouts
Calotis lappulacea,resprouts
Calotis lappulacea,resprouts
Calotis lappulacea,fire_killed
Carex inversa,resprouts
Carex inversa,resprouts
Carex inversa,resprouts
Carex inversa,resprouts
Carex inversa,resprouts
Carex inversa,resprouts
Carex inversa,resprouts
Carex inversa,resprouts
Carex inversa,resprouts
Cassytha paniculata,fire_killed
Casuarina glauca,resprouts
Casuarina glauca,resprouts
Casuarina glauca,resprouts
Casuarina glauca,resprouts
Casuarina glauca,fire_killed
Centella asiatica,resprouts
Centella asiatica,resprouts
Centella asiatica,fire_killed
Centella asiatica,fire_killed
Centella asiatica,resprouts
Centipeda minima,fire_killed
Centipeda minima,fire_killed
Cheilanthes sieberi,resprouts
Chloris truncata,resprouts
Chloris truncata,resprouts
Chloris truncata,resprouts
Chloris ventricosa,resprouts
Chloris ventricosa,resprouts
Chorizema parviflorum,resprouts
Chorizema parviflorum,fire_killed resprouts
Chrysocephalum apiculatum,resprouts
Chrysocephalum apiculatum,resprouts
Chrysocephalum apiculatum,fire_killed resprouts
Chrysocephalum apiculatum,resprouts
Chrysocephalum apiculatum,fire_killed
Chrysocephalum apiculatum,fire_killed
Chrysocephalum apiculatum,fire_killed
Clematis aristata,resprouts
Clematis aristata,resprouts
Clematis aristata,resprouts
Clematis aristata,fire_killed resprouts
Clematis aristata,resprouts
Clematis aristata,resprouts
Clematis aristata,resprouts
Clematis glycinoides,resprouts
Clematis glycinoides,resprouts
Clematis glycinoides,resprouts
Clematis glycinoides,fire_killed
Clematis glycinoides,resprouts
Commelina cyanea,resprouts
Commelina cyanea,resprouts
Commelina cyanea,partial_resprouting
Commelina cyanea,fire_killed
Correa reflexa,resprouts
Correa reflexa,fire_killed
Correa reflexa,resprouts
Correa reflexa,fire_killed
Correa reflexa,resprouts
Correa reflexa,fire_killed
Correa reflexa,fire_killed
Correa reflexa,resprouts
Correa reflexa,fire_killed
Correa reflexa,resprouts
Correa reflexa,fire_killed resprouts
Cotula australis,fire_killed
Cotula australis,fire_killed
Cotula australis,fire_killed
Cotula australis,fire_killed
Crassula sieberiana,fire_killed
Crassula sieberiana,fire_killed
Crassula sieberiana,fire_killed
Crassula sieberiana,partial_resprouting
Crassula sieberiana,fire_killed
Crassula sieberiana,fire_killed
Crassula sieberiana,fire_killed
Cyanthillium cinereum,fire_killed
Cyanthillium cinereum,fire_killed
Cyanthillium cinereum,fire_killed
Cymbopogon refractus,resprouts
Cymbopogon refractus,resprouts
Cymbopogon refractus,resprouts
Cymbopogon refractus,resprouts
Daviesia ulicifolia,resprouts
Daviesia ulicifolia,resprouts
Daviesia ulicifolia,fire_killed
Daviesia ulicifolia,fire_killed
Daviesia ulicifolia,fire_killed resprouts
Dendrophthoe vitellina,fire_killed
Dendrophthoe vitellina,fire_killed
Denhamia silvestris,resprouts
Denhamia silvestris,resprouts
Denhamia silvestris,resprouts
Denhamia silvestris,resprouts
Denhamia silvestris,resprouts
Desmodium rhytidophyllum,resprouts
Desmodium rhytidophyllum,resprouts
Desmodium rhytidophyllum,fire_killed resprouts
Desmodium varians,resprouts
Desmodium varians,resprouts
Desmodium varians,resprouts
Dianella caerulea,resprouts
Dianella caerulea,resprouts
Dianella caerulea,resprouts
Dianella caerulea,partial_resprouting
Dianella caerulea,resprouts
Dianella caerulea,resprouts
Dianella longifolia,resprouts
Dianella longifolia,resprouts
Dianella longifolia,resprouts
Dianella revoluta,resprouts
Dianella revoluta,resprouts
Dianella revoluta,resprouts
Dianella revoluta,resprouts
Dianella revoluta,resprouts
Dianella revoluta,resprouts
Dianella revoluta,resprouts
Dianella revoluta,resprouts
Dichelachne micrantha,resprouts
Dichelachne micrantha,resprouts
Dichelachne micrantha,resprouts
Dichondra repens,resprouts
Dichondra repens,resprouts
Dichondra repens,partial_resprouting
Dichondra repens,resprouts
Digitaria parviflora,resprouts
Digitaria parviflora,resprouts
Digitaria parviflora,resprouts
Digitaria parviflora,resprouts
Digitaria parviflora,resprouts
Dillwynia sieberi,fire_killed
Dillwynia sieberi,fire_killed
Dillwynia sieberi,partial_resprouting
Diuris maculata,resprouts
Diuris maculata,resprouts
