taxon_name,growth_habit
Acacia binervia,shrub tree
Acacia brownii,shrub
Acacia decurrens,shrub tree
Acacia falcata,shrub tree
Acacia longifolia,shrub tree
Acacia parramattensis,shrub tree
Acacia pubescens,shrub
Acacia ulicifolia,shrub
Adiantum aethiopicum,fern
Alternanthera denticulata,herb
Amyema gaudichaudii,shrub
Amyema miquelii,shrub
Angophora floribunda,tree
Anthosachne scabra,tussock
Aristida vagans,tussock
Arthropodium sp. South-east Highlands (N.G.Walsh 811),herb
Asperula conferta,herb
Austrostipa rudis,tussock
Boronia polygalifolia,subshrub
Bossiaea buxifolia,shrub
Bossiaea prostrata,subshrub
Bothriochloa macra,graminoid
Brachychiton populneus,tree
Brachyscome triloba,herb
Breynia oblongifolia,shrub
Brunoniella australis,herb
Brunoniella pumilio,herb
Bursaria spinosa,shrub tree
Caesia parviflora,herb
Callistemon linearifolius,shrub
Callistemon linearis,shrub
Callistemon pinifolius,shrub
Callistemon salignus,shrub tree
Calotis cuneifolia,herb
Calotis lappulacea,herb shrub
Carex inversa,graminoid
Cassinia sifton,shrub
Cassytha paniculata,climber_herbaceous herb
Casuarina glauca,tree
Centella asiatica,herb
Centipeda minima,herb
Cheilanthes sieberi,fern
Chloris truncata,tussock
Chloris ventricosa,tussock
Chorizema parviflorum,shrub
Chrysocephalum apiculatum,herb
Clematis aristata,climber_woody
Clematis glycinoides,climber_woody
Commelina cyanea,herb
Correa reflexa,shrub
Cotula australis,herb
Crassula sieberiana,herb
Cyanthillium cinereum,herb
Cymbopogon refractus,tussock
Daviesia ulicifolia,shrub
Dendrophthoe vitellina,shrub
Denhamia silvestris,shrub
Desmodium rhytidophyllum,herb
Desmodium varians,herb
Dianella caerulea,herb
Dianella longifolia,herb
Dianella revoluta,herb
Dichelachne micrantha,tussock
Dichondra repens,herb
Digitaria parviflora,tussock
Dillwynia sieberi,shrub
Diuris maculata,herb
Dodonaea triquetra,shrub
Drosera peltata,herb
Echinopogon caespitosus,tussock
Echinopogon ovatus,graminoid
Einadia hastata,herb
Einadia polygonoides,herb
Einadia trigonos,herb
Entolasia marginata,graminoid
Entolasia stricta,graminoid
Epilobium billardiereanum,herb
Eragrostis brownii,tussock
Eragrostis leptostachya,tussock
Eremophila debilis,shrub
Eriochloa pseudoacrotricha,tussock
Eucalyptus amplifolia,tree
Eucalyptus eugenioides,tree
Eucalyptus fibrosa,tree
Eucalyptus globoidea,tree
Eucalyptus longifolia,tree
Eucalyptus moluccana,tree
Eucalyptus punctata,tree
Eucalyptus resinifera,tree
Eucalyptus tereticornis,tree
Euchiton involucratus,herb
Euchiton sphaericus,herb
Eustrephus latifolius,climber shrub
Exocarpos cupressiformis,shrub tree
Gahnia aspera,graminoid
Gahnia melanocarpa,graminoid
Geranium solanderi,herb
Glochidion ferdinandi,shrub tree
Glossocardia bidens,herb
Glycine clandestina,climber_herbaceous
Glycine microphylla,herb
Glycine tabacina,climber_herbaceous
Goodenia hederacea,herb
Goodenia paniculata,herb
Gratiola pedunculata,herb
Hakea sericea,shrub tree
Hardenbergia violacea,climber_herbaceous herb subshrub
Hibbertia aspera,shrub
Hibbertia diffusa,shrub
Hibbertia pedunculata,shrub
Homalanthus populifolius,shrub tree
Hovea linearis,subshrub
Hydrocotyle sibthorpioides,herb
Hypericum gramineum,herb
Hypoxis hygrometrica,herb
Imperata cylindrica,tussock
Indigofera australis,shrub
Isolepis cernua,graminoid
Jacksonia scoparia,shrub tree
Juncus bufonius,graminoid
Juncus planifolius,graminoid
Juncus subsecundus,graminoid
Juncus usitatus,graminoid
Kennedia rubicunda,climber_herbaceous herb
Kunzea ambigua,shrub
Lachnagrostis filiformis,tussock
Lasiopetalum parviflorum,shrub
Laxmannia gracilis,herb
Lepidosperma laterale,graminoid
Leptospermum polygalifolium,shrub tree
Leptospermum trinervium,shrub tree
Leucopogon affinis,shrub
Leucopogon juniperinus,shrub
Linum marginale,herb
Lissanthe strigosa,shrub
Lobelia anceps,herb
Lobelia purpurascens,herb
Lomandra filiformis,tussock
Lomandra longifolia,tussock
Lomandra multiflora,tussock
Lythrum hyssopifolia,herb
Macrozamia spiralis,basal_large
Melaleuca decora,shrub tree
Melaleuca diosmatifolia,shrub
Melaleuca linariifolia,shrub tree
Melaleuca nodosa,shrub
Melaleuca styphelioides,shrub tree
Melaleuca thymifolia,shrub
Mentha diemenica,herb
Microlaena stipoides,graminoid
Muellerina eucalyptoides,shrub
Myoporum boninense,shrub
Myrsine variabilis,shrub tree
Notelaea longifolia,tree
Notelaea ovata,shrub
Olearia microphylla,shrub
Olearia viscidula,shrub
Opercularia diphylla,herb
Opercularia varia,herb
Oplismenus hirtellus,graminoid
Oxalis perennans,herb
Oxalis thompsoniae,herb
Ozothamnus diosmifolius,shrub
Pandorea pandorana,climber_woody
Panicum simile,tussock
Paspalidium criniforme,tussock
Paspalidium distans,tussock
Pelargonium inodorum,herb
Pellaea falcata,fern
Persicaria decipiens,herb
Persicaria lapathifolia,herb
Persoonia linearis,shrub tree
Phragmites australis,tussock
Phyllanthus gunnii,shrub
Pimelea linifolia,shrub
Pittosporum multiflorum,shrub
Pittosporum revolutum,shrub tree
Pittosporum undulatum,shrub tree
Plantago debilis,herb
Plectranthus parviflorus,shrub
Poa sieberiana,tussock
Polymeria calycina,herb
Polyscias sambucifolia,shrub tree
Pomaderris ferruginea,shrub
