taxon_name,APC_name,genus,family,maximum_height_metres,dispersal_syndrome,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association,status
Acacia binervia,Acacia binervia (J.C.Wendl.) J.F.Macbr.,Acacia,Fabaceae,16,zoochory,tree,perennial,c3,fire_killed,no,persister
Acacia brownii,Acacia brownii (Poir.) Steud.,Acacia,Fabaceae,1,zoochory,shrub,perennial,c3,resprouting_possible,no,persister
Acacia decurrens,Acacia decurrens Willd.,Acacia,Fabaceae,15,myrmecochory,tree,perennial,c3,fire_killed,no,persister
Acacia falcata,Acacia falcata Willd.,Acacia,Fabaceae,5,zoochory,tree,perennial,c3,fire_killed,no,persister
Acacia longifolia,Acacia longifolia (Andrews) Willd.,Acacia,Fabaceae,10,myrmecochory,tree,perennial,c3,fire_killed,no,persister
Acacia parramattensis,Acacia parramattensis Tindale,Acacia,Fabaceae,15,myrmecochory,tree,perennial,c3,fire_killed,no,persister
Acacia pubescens,Acacia pubescens (Vent.) R.Br.,Acacia,Fabaceae,5,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister
Acacia stricta,Acacia stricta (Andrews) Willd.,Acacia,Fabaceae,6,myrmecochory,tree,perennial,c3,resprouting_possible,no,extinct
Acacia ulicifolia,Acacia ulicifolia (Salisb.) Court,Acacia,Fabaceae,2.19,myrmecochory,shrub,perennial,c3,resprouting_possible,no,persister
Adiantum aethiopicum,Adiantum aethiopicum L.,Adiantum,Pteridaceae,0.5,anemochory,fern,perennial,c3,resprouting_possible,no,persister
Allocasuarina torulosa,Allocasuarina torulosa (Aiton) L.A.S.Johnson,Allocasuarina,Casuarinaceae,30,anemochory,tree,perennial,c3,resprouting_possible,no,extinct
Alternanthera denticulata,Alternanthera denticulata R.Br.,Alternanthera,Amaranthaceae,0.9,hydrochory,herb,perennial,c3,fire_killed,yes,persister
Amphibromus neesii,Amphibromus neesii Steud.,Amphibromus,Poaceae,1.5,epizoochory,graminoid,perennial,c3,fire_killed,yes,extinct
