taxon_name,growth_habit
Acacia stricta,shrub tree
Acacia stricta,shrub
Acacia stricta,shrub tree
Acacia stricta,shrub
Acacia stricta,shrub tree
Acacia stricta,shrub tree
Acacia stricta,shrub tree
Acacia stricta,shrub
Acacia stricta,shrub tree
Acacia stricta,shrub
Acacia stricta,shrub
Allocasuarina torulosa,tree
Allocasuarina torulosa,tree
Allocasuarina torulosa,tree
Allocasuarina torulosa,tree
Allocasuarina torulosa,tree
Allocasuarina torulosa,tree
Allocasuarina torulosa,tree
Allocasuarina torulosa,tree
Allocasuarina torulosa,tree
Allocasuarina torulosa,tree
Allocasuarina torulosa,tree
Allocasuarina torulosa,tree
Allocasuarina torulosa,tree
Amphibromus neesii,graminoid herb
Amphibromus neesii,graminoid
Amphibromus neesii,graminoid herb
Amphibromus neesii,graminoid herb
Amphibromus neesii,herb
Amphibromus neesii,tussock
Amphibromus neesii,tussock
Aristida ramosa,graminoid herb
Aristida ramosa,graminoid
Aristida ramosa,tussock
Aristida ramosa,graminoid herb
Aristida ramosa,herb
Aristida ramosa,graminoid herb
Aristida ramosa,graminoid herb
Aristida ramosa,herb
Aristida ramosa,graminoid
Aristida ramosa,graminoid herb
Aristida ramosa,tussock
Aristida ramosa,tussock
Aristida ramosa,tussock
Arthropodium minus,herb
Arthropodium minus,herb
Arthropodium minus,graminoid
Arthropodium minus,herb
Arthropodium minus,herb
Arthropodium minus,herb
Arthropodium minus,herb
Arthropodium minus,herb
Arthropodium minus,herb
Arthropodium minus,herb
Arthropodium strictum,herb
Arthropodium strictum,herb
Arthropodium strictum,herb
Arthropodium strictum,herb
Arthropodium strictum,herb
Arthropodium strictum,herb
Arthropodium strictum,herb
Arthropodium strictum,herb
Arthropodium strictum,herb
Asterolasia correifolia,shrub
Asterolasia correifolia,tree
Asterolasia correifolia,shrub
Asterolasia correifolia,shrub
Asterolasia correifolia,shrub
Asterolasia correifolia,shrub
Asterolasia correifolia,shrub
Asterolasia correifolia,shrub
Astroloma humifusum,subshrub
Astroloma humifusum,shrub
Astroloma humifusum,shrub
Astroloma humifusum,shrub
Astroloma humifusum,shrub
Astroloma humifusum,shrub
Astroloma humifusum,shrub
Astroloma humifusum,shrub
Astroloma humifusum,shrub
Astroloma humifusum,shrub
Astroloma humifusum,shrub
Astroloma humifusum,subshrub
Austrostipa pubescens,graminoid herb
Austrostipa pubescens,graminoid herb
Austrostipa pubescens,herb
Austrostipa pubescens,herb
Austrostipa pubescens,tussock
Austrostipa pubescens,tussock
Austrostipa scabra,graminoid herb
Austrostipa scabra,graminoid
Austrostipa scabra,graminoid herb
Austrostipa scabra,graminoid herb
Austrostipa scabra,herb
Austrostipa scabra,graminoid
Austrostipa scabra,graminoid herb
Austrostipa scabra,tussock
Austrostipa scabra,tussock
Austrostipa scabra,tussock
Austrostipa setacea,graminoid herb
Austrostipa setacea,graminoid herb
Austrostipa setacea,herb
Austrostipa setacea,graminoid herb
Austrostipa setacea,herb
Austrostipa setacea,graminoid
Austrostipa setacea,tussock
Austrostipa setacea,tussock
Austrostipa setacea,tussock
Austrostipa setacea,herb
Billardiera scandens,shrub
Billardiera scandens,climber
Billardiera scandens,climber
Billardiera scandens,climber
Billardiera scandens,climber_woody
Billardiera scandens,shrub
Billardiera scandens,climber
Billardiera scandens,climber
Billardiera scandens,shrub
Billardiera scandens,climber_herbaceous
Billardiera scandens,climber_woody shrub
Billardiera scandens,climber
Billardiera scandens,shrub
Billardiera scandens,climber
Billardiera scandens,climber
Billardiera scandens,climber
Bolboschoenus caldwellii,graminoid herb
Bolboschoenus caldwellii,graminoid herb
Bolboschoenus caldwellii,graminoid herb
Bolboschoenus caldwellii,herb
