taxon_name,life_history
Acacia binervia,perennial
Acacia binervia,perennial
Acacia binervia,perennial
Acacia binervia,perennial
Acacia binervia,perennial
Acacia brownii,perennial
Acacia brownii,perennial
Acacia brownii,perennial
Acacia brownii,perennial
Acacia brownii,perennial
Acacia brownii,perennial
Acacia decurrens,perennial
Acacia decurrens,perennial
Acacia decurrens,perennial
Acacia decurrens,perennial
Acacia decurrens,perennial
Acacia decurrens,perennial
Acacia decurrens,perennial
Acacia decurrens,perennial
Acacia decurrens,perennial
Acacia decurrens,perennial
Acacia falcata,perennial
Acacia falcata,perennial
Acacia falcata,perennial
Acacia falcata,perennial
Acacia falcata,perennial
Acacia longifolia,perennial
Acacia longifolia,perennial
Acacia longifolia,perennial
Acacia longifolia,perennial
Acacia longifolia,perennial
Acacia longifolia,perennial
Acacia longifolia,perennial
Acacia longifolia,perennial
Acacia longifolia,perennial
Acacia longifolia,perennial
Acacia longifolia,perennial
Acacia longifolia,perennial
Acacia parramattensis,perennial
Acacia parramattensis,perennial
Acacia parramattensis,perennial
Acacia parramattensis,perennial
Acacia parramattensis,perennial
Acacia pubescens,perennial
Acacia pubescens,perennial
Acacia pubescens,perennial
Acacia pubescens,perennial
Acacia pubescens,perennial
Acacia ulicifolia,perennial
Acacia ulicifolia,perennial
Acacia ulicifolia,perennial
Acacia ulicifolia,perennial
Acacia ulicifolia,perennial
Acacia ulicifolia,perennial
Acacia ulicifolia,perennial
Adiantum aethiopicum,perennial
Adiantum aethiopicum,perennial
Adiantum aethiopicum,perennial
Adiantum aethiopicum,perennial
Alternanthera denticulata,annual
Alternanthera denticulata,short_lived_perennial
Alternanthera denticulata,perennial
Alternanthera denticulata,perennial
Alternanthera denticulata,annual
Alternanthera denticulata,annual biennial
Alternanthera denticulata,annual
Alternanthera denticulata,annual short_lived_perennial
Alternanthera denticulata,annual perennial
Alternanthera denticulata,annual
Alternanthera denticulata,perennial
Amyema gaudichaudii,perennial
Amyema gaudichaudii,perennial
Amyema gaudichaudii,perennial
Amyema gaudichaudii,perennial
Amyema miquelii,perennial
Amyema miquelii,perennial
Amyema miquelii,perennial
Amyema miquelii,perennial
Amyema miquelii,perennial
Amyema miquelii,perennial
Amyema miquelii,perennial
Amyema miquelii,perennial
Amyema miquelii,perennial
Amyema miquelii,perennial
Amyema miquelii,perennial
Amyema miquelii,perennial
Amyema miquelii,perennial
Angophora floribunda,perennial
Angophora floribunda,perennial
Angophora floribunda,perennial
Angophora floribunda,perennial
Angophora floribunda,perennial
Anthosachne scabra,perennial
Anthosachne scabra,perennial
Anthosachne scabra,perennial
Anthosachne scabra,perennial
Anthosachne scabra,perennial
Anthosachne scabra,perennial
Anthosachne scabra,perennial
Anthosachne scabra,perennial
Anthosachne scabra,perennial
Anthosachne scabra,perennial
Anthosachne scabra,perennial
Anthosachne scabra,perennial
Anthosachne scabra,perennial
Aristida vagans,perennial
Aristida vagans,perennial
Aristida vagans,perennial
Arthropodium sp. South-east Highlands (N.G.Walsh 811),perennial
Arthropodium sp. South-east Highlands (N.G.Walsh 811),perennial
Arthropodium sp. South-east Highlands (N.G.Walsh 811),perennial
Asperula conferta,short_lived_perennial
Asperula conferta,perennial
Asperula conferta,perennial
Asperula conferta,perennial
Asperula conferta,perennial
Asperula conferta,perennial
Asperula conferta,perennial
Asperula conferta,perennial
Austrostipa rudis,perennial
Austrostipa rudis,perennial
Austrostipa rudis,perennial
Austrostipa rudis,perennial
Austrostipa rudis,perennial
Austrostipa rudis,perennial
Austrostipa rudis,perennial
Boronia polygalifolia,perennial
Boronia polygalifolia,perennial
Boronia polygalifolia,perennial
Bossiaea buxifolia,perennial
Bossiaea buxifolia,perennial
Bossiaea buxifolia,perennial
Bossiaea buxifolia,perennial
Bossiaea prostrata,short_lived_perennial
Bossiaea prostrata,perennial
Bossiaea prostrata,perennial
Bossiaea prostrata,perennial
Bossiaea prostrata,perennial
Bossiaea prostrata,perennial
Bothriochloa macra,perennial
Bothriochloa macra,perennial
Bothriochloa macra,perennial
Bothriochloa macra,perennial
Bothriochloa macra,perennial
Bothriochloa macra,perennial
Brachychiton populneus,perennial
Brachychiton populneus,perennial
Brachychiton populneus,perennial
Brachychiton populneus,perennial
Brachychiton populneus,perennial
Brachychiton populneus,perennial
Brachyscome triloba,perennial
Breynia oblongifolia,perennial
Breynia oblongifolia,perennial
Breynia oblongifolia,perennial
Breynia oblongifolia,perennial
Brunoniella australis,perennial
Brunoniella australis,perennial
Brunoniella australis,perennial
Brunoniella australis,perennial
Brunoniella pumilio,perennial
Brunoniella pumilio,perennial
Bursaria spinosa,perennial
Bursaria spinosa,perennial
Bursaria spinosa,perennial
Bursaria spinosa,perennial
Bursaria spinosa,perennial
Bursaria spinosa,perennial
Bursaria spinosa,perennial
Caesia parviflora,perennial
Caesia parviflora,perennial
Caesia parviflora,perennial
Caesia parviflora,perennial
Caesia parviflora,perennial
Caesia parviflora,perennial
Caesia parviflora,perennial
Caesia parviflora,perennial
Callistemon linearifolius,perennial
Callistemon linearifolius,perennial
Callistemon linearifolius,perennial
Callistemon linearis,perennial
Callistemon linearis,perennial
Callistemon linearis,perennial
Callistemon linearis,perennial
Callistemon linearis,perennial
Callistemon linearis,perennial
Callistemon pinifolius,perennial
Callistemon pinifolius,perennial
Callistemon pinifolius,perennial
Callistemon salignus,perennial
Callistemon salignus,perennial
Callistemon salignus,perennial
Callistemon salignus,perennial
Calotis cuneifolia,perennial
Calotis cuneifolia,biennial
Calotis cuneifolia,perennial
Calotis cuneifolia,perennial
Calotis cuneifolia,perennial
Calotis cuneifolia,perennial
Calotis lappulacea,perennial
Calotis lappulacea,perennial
Calotis lappulacea,perennial
Calotis lappulacea,perennial
Calotis lappulacea,perennial
Calotis lappulacea,perennial
