taxon_name,dispersal
Acacia binervia,zoochory
Acacia brownii,zoochory
Acacia decurrens,myrmecochory
Acacia falcata,zoochory
Acacia longifolia,myrmecochory
Acacia parramattensis,myrmecochory
Acacia ulicifolia,myrmecochory
Adiantum aethiopicum,anemochory
Allocasuarina torulosa,anemochory
Alternanthera denticulata,hydrochory
Amyema gaudichaudii,endozoochory
Amyema miquelii,endozoochory
Angophora floribunda,mixed
Anthosachne scabra,epizoochory
Aristida vagans,epizoochory
Arthropodium sp. South-east Highlands (N.G.Walsh 811),barochory
Asperula conferta,barochory
Austrostipa rudis,epizoochory
Boronia polygalifolia,ballistic
Bossiaea buxifolia,myrmecochory
Bossiaea prostrata,myrmecochory
Bothriochloa macra,epizoochory
Brachychiton populneus,epizoochory
Brachyscome triloba,zoochory
Breynia oblongifolia,myrmecochory
Brunoniella australis,barochory
Brunoniella pumilio,barochory
Bursaria spinosa,anemochory
Caesia parviflora,myrmecochory
Callistemon linearis,anemochory
Calotis cuneifolia,epizoochory
Calotis lappulacea,epizoochory
Carex inversa,endozoochory
Cassytha paniculata,endozoochory
Casuarina glauca,anemochory
Centella asiatica,barochory
Centipeda minima,epizoochory
Cheilanthes sieberi,barochory
Chloris truncata,anemochory
Chloris ventricosa,anemochory
Chorizema parviflorum,myrmecochory
Chrysocephalum apiculatum,anemochory
Clematis aristata,anemochory
Clematis glycinoides,anemochory
Commelina cyanea,barochory
Correa reflexa,myrmecochory
Cotula australis,mixed
Crassula sieberiana,anemochory
Cyanthillium cinereum,anemochory
Cymbopogon refractus,epizoochory
Daviesia ulicifolia,myrmecochory
Dendrophthoe vitellina,endozoochory
Denhamia silvestris,myrmecochory
Desmodium rhytidophyllum,epizoochory
Desmodium varians,epizoochory
Dianella caerulea,endozoochory
Dianella longifolia,endozoochory
Dianella revoluta,endozoochory
Dichelachne micrantha,epizoochory
Dichondra repens,barochory
Digitaria parviflora,anemochory
Dillwynia sieberi,myrmecochory
Diuris maculata,anemochory
Dodonaea triquetra,myrmecochory
Drosera peltata,mixed
Echinopogon caespitosus,epizoochory
Echinopogon ovatus,epizoochory
Einadia hastata,endozoochory
Einadia polygonoides,zoochory
Einadia trigonos,zoochory
Entolasia marginata,mixed
Entolasia stricta,mixed
Epilobium billardiereanum,anemochory
