taxon_name,dispersal
Acacia stricta,myrmecochory
Amphibromus neesii,epizoochory
Aristida ramosa,epizoochory
Arthropodium minus,barochory
Arthropodium strictum,barochory
Asterolasia correifolia,myrmecochory
Astroloma humifusum,endozoochory
Austrostipa pubescens,epizoochory
Austrostipa scabra,epizoochory
Austrostipa setacea,epizoochory
Billardiera scandens,endozoochory
Bolboschoenus caldwellii,endozoochory
Bothriochloa decipiens,mixed
Brachyscome graminea,zoochory
Cardamine lilacina,epizoochory
Cassytha glabella,endozoochory
Commersonia dasyphylla,zoochory
Coronidium scorpioides,anemochory
Cyperus mirus,hydrochory
Cyperus polystachyos,hydrochory
Deyeuxia quadriseta,epizoochory
Dichelachne rara,epizoochory
Digitaria ramularis,anemochory
Diuris sulphurea,anemochory
Dysphania littoralis,mixed
Echinochloa telmatophila,anemochory
Einadia nutans,endozoochory
Eleocharis acuta,mixed
Eragrostis benthamii,mixed
Eragrostis elongata,mixed
Eragrostis parviflora,barochory
Eucalyptus sideroxylon,anemochory
Euchiton japonicus,anemochory
Euphorbia drummondii,barochory
Exocarpos strictus,endozoochory
Gompholobium glabratum,myrmecochory
Gonocarpus tetragynus,barochory
Goodenia bellidifolia,myrmecochory
Goodenia ovata,myrmecochory
Isotoma fluviatilis,zoochory
Juncus continuus,epizoochory
Juncus homalocaulis,mixed
Juncus mollis,mixed
Juncus polyanthemus,epizoochory
Juncus procerus,mixed
Juncus remotiflorus,epizoochory
Juncus vaginatus,mixed
Lachnagrostis aemula,mixed
Lepidosperma lineare,myrmecochory
Lomandra fluviatilis,mixed
Maireana microphylla,anemochory
Microtis,anemochory
Mitrasacme polymorpha,mixed
Omphacomeria acerba,endozoochory
Opercularia aspera,myrmecochory
Panicum effusum,anemochory
Parsonsia straminea,anemochory
Paspalidium aversum,mixed
Paspalum vaginatum,epizoochory
Picris angustifolia,anemochory
Plantago varia,barochory
Poa affinis,epizoochory
Poa labillardierei,epizoochory
Polygala japonica,mixed
Pomaderris lanigera,myrmecochory
Pultenaea retusa,myrmecochory
Ranunculus lappaceus,mixed
Rytidosperma bipartitum,epizoochory
Rytidosperma longifolium,epizoochory
Rytidosperma racemosum,epizoochory
Senecio bathurstianus,anemochory
Senecio linearifolius,anemochory
Senecio quadridentatus,anemochory
Sphaeromorphaea australis,epizoochory
Sporobolus elongatus,mixed
Syncarpia glomulifera,anemochory
Thelymitra pauciflora,anemochory
Tricoryne elatior,barochory
Tricoryne simplex,mixed
Typha domingensis,anemochory
Urochloa foliosa,anemochory
Veronica calycina,barochory
Viola betonicifolia,myrmecochory
Vittadinia muelleri,anemochory
Wahlenbergia capillaris,mixed
Wahlenbergia stricta,barochory
