taxon_name,Family,Genus,Species with author,maximum_height_metres,dispersal_syndrome,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association,status
Parsonsia straminea,Apocynaceae,Parsonsia,Parsonsia straminea (R.Br.) F.Muell.,30,anemochory,climber_woody,perennial,c3,resprouting_possible,no,extinct
Arthropodium minus,Asparagaceae,Arthropodium,Arthropodium minus R.Br.,0.5,barochory,herb,perennial,c3,resprouting_possible,no,extinct
Arthropodium strictum,Asparagaceae,Arthropodium,Arthropodium strictum R.Br.,1.2,barochory,herb,perennial,c3,resprouting_possible,no,extinct
Lomandra fluviatilis,Asparagaceae,Lomandra,Lomandra fluviatilis (R.Br.) A.T.Lee,0.75,mixed,herb,perennial,c3,resprouting_possible,yes,extinct
Brachyscome graminea,Asteraceae,Brachyscome,Brachyscome graminea (Labill.) F.Muell.,0.7,zoochory,herb,perennial,c3,resprouting_possible,no,extinct
Coronidium scorpioides,Asteraceae,Coronidium,Coronidium scorpioides (Labill.) Paul G.Wilson,0.901,anemochory,herb,perennial,c3,resprouting_possible,no,extinct
Picris angustifolia,Asteraceae,Picris,Picris angustifolia DC.,1.4,anemochory,herb,perennial,c3,fire_killed,no,extinct
Senecio bathurstianus,Asteraceae,Senecio,Senecio bathurstianus (DC.) Sch.Bip.,1.5,anemochory,herb,annual,c3,fire_killed,no,extinct
Senecio linearifolius,Asteraceae,Senecio,Senecio linearifolius A.Rich.,2,anemochory,subshrub,perennial,c3,fire_killed,no,extinct
Senecio quadridentatus,Asteraceae,Senecio,Senecio quadridentatus Labill.,1.5,anemochory,herb,perennial,c3,fire_killed,no,extinct
Sphaeromorphaea australis,Asteraceae,Sphaeromorphaea,Sphaeromorphaea australis (Less.) Kitam.,0.3,epizoochory,herb,perennial,c3,fire_killed,no,extinct
Vittadinia muelleri,Asteraceae,Vittadinia,Vittadinia muelleri N.T.Burb.,0.3,anemochory,herb,perennial,c3,resprouting_possible,no,extinct
Cardamine lilacina,Brassicaceae,Cardamine,Cardamine lilacina Hook.,0.5,epizoochory,herb,perennial,c3,resprouting_possible,no,extinct
Isotoma fluviatilis,Campanulaceae,Isotoma,Isotoma fluviatilis (R.Br.) F.Muell. ex Benth.,0.1,zoochory,herb,perennial,c3,resprouting_possible,yes,extinct
Wahlenbergia capillaris,Campanulaceae,Wahlenbergia,Wahlenbergia capillaris (G.Lodd.) G.Don,0.75,mixed,herb,perennial,c3,resprouting_possible,no,extinct
Wahlenbergia stricta,Campanulaceae,Wahlenbergia,Wahlenbergia stricta (R.Br.) Sweet,0.9,barochory,herb,perennial,c3,resprouting_possible,no,extinct
Dysphania littoralis,Chenopodiaceae,Dysphania,Dysphania littoralis R.Br.,0.1,mixed,herb,short_lived_perennial,c3,fire_killed,no,extinct
Einadia nutans,Chenopodiaceae,Einadia,Einadia nutans (R.Br.) A.J.Scott,1,endozoochory,herb,perennial,c3,fire_killed,no,extinct
Maireana microphylla,Chenopodiaceae,Maireana,Maireana microphylla (Moq.) Paul G.Wilson,1,anemochory,shrub,perennial,c4,fire_killed,no,extinct
Bolboschoenus caldwellii,Cyperaceae,Bolboschoenus,Bolboschoenus caldwellii (V.J.Cook) Soják,1.2,endozoochory,graminoid,perennial,c3,resprouting_possible,yes,extinct
Cyperus mirus,Cyperaceae,Cyperus,Cyperus mirus C.B.Clarke,0.55,hydrochory,graminoid,perennial,c3,NA,yes,extinct
Cyperus polystachyos,Cyperaceae,Cyperus,Cyperus polystachyos Rottb.,0.6,hydrochory,graminoid,perennial,c4,resprouting_possible,yes,extinct
Eleocharis acuta,Cyperaceae,Eleocharis,Eleocharis acuta R.Br.,0.9,mixed,graminoid,perennial,c3,resprouting_possible,yes,extinct
