taxon_name,resprouting_capacity
Acacia stricta,fire_killed
Acacia stricta,resprouts
Acacia stricta,fire_killed
Acacia stricta,fire_killed
Amphibromus neesii,fire_killed
Aristida ramosa,resprouts
Aristida ramosa,resprouts
Aristida ramosa,resprouts
Aristida ramosa,resprouts
Aristida ramosa,resprouts
Aristida ramosa,resprouts
Aristida ramosa,resprouts
Arthropodium minus,resprouts
Arthropodium minus,resprouts
Arthropodium minus,resprouts
Arthropodium strictum,resprouts
Arthropodium strictum,partial_resprouting
Arthropodium strictum,resprouts
Arthropodium strictum,resprouts
Asterolasia correifolia,fire_killed
Asterolasia correifolia,fire_killed
Asterolasia correifolia,fire_killed
Asterolasia correifolia,fire_killed
Astroloma humifusum,resprouts
Astroloma humifusum,resprouts
Astroloma humifusum,resprouts
Astroloma humifusum,resprouts
Austrostipa pubescens,resprouts
Austrostipa pubescens,resprouts
Austrostipa pubescens,resprouts
Austrostipa pubescens,resprouts
Austrostipa pubescens,resprouts
Austrostipa scabra,resprouts
Austrostipa setacea,resprouts
Billardiera scandens,resprouts
Billardiera scandens,resprouts
Billardiera scandens,resprouts
Billardiera scandens,fire_killed
Billardiera scandens,resprouts
Billardiera scandens,resprouts
Billardiera scandens,resprouts
Billardiera scandens,resprouts
Billardiera scandens,resprouts
Billardiera scandens,partial_resprouting
Bolboschoenus caldwellii,resprouts
Bolboschoenus caldwellii,resprouts
Bolboschoenus caldwellii,resprouts
Bothriochloa decipiens,resprouts
Brachyscome graminea,resprouts
Brachyscome graminea,resprouts
Brachyscome graminea,resprouts
Brachyscome graminea,resprouts
Brachyscome graminea,resprouts
Brachyscome graminea,resprouts
Brachyscome graminea,resprouts
Cardamine lilacina,partial_resprouting
Cardamine lilacina,resprouts
Cardamine lilacina,resprouts
Cardamine lilacina,resprouts
Cardamine lilacina,resprouts
Cardamine lilacina,resprouts
Cardamine lilacina,resprouts
Cardamine lilacina,resprouts
Cardamine lilacina,resprouts
Cassytha glabella,fire_killed
Cassytha glabella,fire_killed
Cassytha glabella,fire_killed
Cassytha glabella,fire_killed
Cassytha glabella,fire_killed
Commersonia dasyphylla,fire_killed
Commersonia dasyphylla,fire_killed
Coronidium scorpioides,resprouts
Coronidium scorpioides,resprouts
Coronidium scorpioides,resprouts
Coronidium scorpioides,fire_killed resprouts
Coronidium scorpioides,resprouts
Coronidium scorpioides,resprouts
Coronidium scorpioides,resprouts
Coronidium scorpioides,resprouts
Cyperus polystachyos,resprouts
Cyperus polystachyos,fire_killed
