taxon_name,growth_habit
Acacia stricta,shrub tree
Amphibromus neesii,tussock
Aristida ramosa,tussock
Arthropodium minus,herb
Arthropodium strictum,herb
Asterolasia correifolia,shrub
Astroloma humifusum,shrub
Austrostipa pubescens,tussock
Austrostipa scabra,tussock
Austrostipa setacea,tussock
Billardiera scandens,climber_woody shrub
Bolboschoenus caldwellii,graminoid
Bothriochloa decipiens,graminoid
Brachyscome graminea,herb
Cardamine lilacina,herb
Cassytha glabella,climber_herbaceous herb
Commersonia dasyphylla,shrub subshrub
Coronidium scorpioides,herb
Cyperus mirus,graminoid
Cyperus polystachyos,graminoid
Deyeuxia quadriseta,tussock
Dichelachne rara,tussock
Digitaria ramularis,tussock
Diuris sulphurea,herb
Dysphania littoralis,herb
Echinochloa telmatophila,tussock
Einadia nutans,herb
Eleocharis acuta,graminoid
Eragrostis elongata,tussock
Eragrostis parviflora,tussock
Eucalyptus sideroxylon,tree
Euchiton japonicus,herb
Euphorbia drummondii,herb
Exocarpos strictus,shrub tree
Gompholobium glabratum,shrub
Gonocarpus tetragynus,herb subshrub
Goodenia bellidifolia,herb
Goodenia ovata,shrub
Isotoma fluviatilis,herb
Juncus continuus,graminoid
Juncus homalocaulis,graminoid
Juncus mollis,graminoid
Juncus polyanthemus,graminoid
Juncus procerus,graminoid
Juncus remotiflorus,graminoid
Juncus vaginatus,graminoid
Lachnagrostis aemula,tussock
Lepidosperma lineare,graminoid
Lomandra fluviatilis,herb
Maireana microphylla,shrub
Mitrasacme polymorpha,herb
Omphacomeria acerba,shrub
Opercularia aspera,herb subshrub
Panicum effusum,tussock
Parsonsia straminea,climber_woody
Paspalidium aversum,tussock
Paspalum vaginatum,tussock
Picris angustifolia,herb
Plantago varia,herb
Poa affinis,tussock
Poa labillardierei,tussock
Polygala japonica,herb subshrub
Pomaderris lanigera,shrub tree
Pultenaea retusa,shrub
Ranunculus lappaceus,herb
Rytidosperma bipartitum,tussock
Rytidosperma longifolium,tussock
Rytidosperma racemosum,tussock
Senecio bathurstianus,herb
Senecio linearifolius,herb subshrub
Senecio quadridentatus,herb
Sphaeromorphaea australis,herb
Sporobolus elongatus,tussock
Syncarpia glomulifera,tree
Thelymitra pauciflora,herb
Tricoryne elatior,herb
Tricoryne simplex,herb
Typha domingensis,tussock
Urochloa foliosa,tussock
Veronica calycina,herb
Viola betonicifolia,herb
Vittadinia muelleri,herb
Wahlenbergia capillaris,herb
Wahlenbergia stricta,herb
