taxon_name,growth_habit
Acacia binervia,shrub tree
Acacia binervia,tree
Acacia binervia,shrub tree
Acacia binervia,tree
Acacia binervia,shrub tree
Acacia binervia,tree
Acacia binervia,tree
Acacia binervia,shrub tree
Acacia binervia,tree
Acacia brownii,shrub
Acacia brownii,shrub
Acacia brownii,shrub tree
Acacia brownii,shrub
Acacia brownii,shrub
Acacia brownii,shrub
Acacia brownii,shrub
Acacia brownii,shrub
Acacia brownii,shrub
Acacia brownii,shrub
Acacia decurrens,shrub tree
Acacia decurrens,tree
Acacia decurrens,shrub tree
Acacia decurrens,shrub tree
Acacia decurrens,tree
Acacia decurrens,tree
Acacia decurrens,tree
Acacia decurrens,tree
Acacia decurrens,tree
Acacia decurrens,tree
Acacia decurrens,shrub tree
Acacia decurrens,tree
Acacia falcata,shrub tree
Acacia falcata,shrub
Acacia falcata,shrub
Acacia falcata,shrub tree
Acacia falcata,shrub tree
Acacia falcata,shrub tree
Acacia falcata,shrub
Acacia falcata,shrub tree
Acacia falcata,shrub
Acacia longifolia,shrub tree
Acacia longifolia,shrub
Acacia longifolia,shrub
Acacia longifolia,shrub tree
Acacia longifolia,tree
Acacia longifolia,shrub tree
Acacia longifolia,shrub tree
Acacia longifolia,shrub
Acacia longifolia,shrub
Acacia longifolia,shrub tree
Acacia longifolia,shrub tree
Acacia longifolia,shrub tree
Acacia longifolia,tree
Acacia longifolia,tree
Acacia parramattensis,shrub tree
Acacia parramattensis,shrub tree
Acacia parramattensis,tree
Acacia parramattensis,shrub tree
Acacia parramattensis,shrub tree
Acacia parramattensis,tree
Acacia parramattensis,shrub tree
Acacia parramattensis,tree
Acacia pubescens,shrub
Acacia pubescens,shrub
Acacia pubescens,shrub
Acacia pubescens,shrub
Acacia pubescens,shrub
Acacia ulicifolia,shrub
Acacia ulicifolia,shrub
Acacia ulicifolia,shrub
Acacia ulicifolia,tree
Acacia ulicifolia,shrub
Acacia ulicifolia,shrub
Acacia ulicifolia,shrub
Acacia ulicifolia,shrub
Acacia ulicifolia,shrub
Acacia ulicifolia,shrub
Acacia ulicifolia,shrub
Acacia ulicifolia,shrub
Acacia ulicifolia,shrub
Acacia ulicifolia,shrub
Adiantum aethiopicum,fern
Adiantum aethiopicum,fern
Adiantum aethiopicum,fern
Adiantum aethiopicum,fern
Adiantum aethiopicum,fern
Adiantum aethiopicum,fern herb
Adiantum aethiopicum,fern
Adiantum aethiopicum,fern
Adiantum aethiopicum,herb
Alternanthera denticulata,herb
Alternanthera denticulata,herb
Alternanthera denticulata,herb
Alternanthera denticulata,herb
Alternanthera denticulata,herb
Alternanthera denticulata,herb
Alternanthera denticulata,herb
Alternanthera denticulata,herb
Alternanthera denticulata,herb
Alternanthera denticulata,herb
Alternanthera denticulata,herb
Alternanthera denticulata,herb
Alternanthera denticulata,herb
Alternanthera denticulata,herb
Alternanthera denticulata,herb
Amyema gaudichaudii,shrub
Amyema gaudichaudii,shrub
Amyema gaudichaudii,shrub
Amyema gaudichaudii,shrub
Amyema miquelii,shrub
Amyema miquelii,shrub
Amyema miquelii,shrub
Amyema miquelii,shrub
Amyema miquelii,shrub
Amyema miquelii,shrub
