taxon_name,growth_habit
Acacia stricta,tree
Amphibromus neesii,graminoid
Aristida ramosa,graminoid
Arthropodium minus,herb
Arthropodium strictum,herb
Asterolasia correifolia,shrub
Astroloma humifusum,shrub
Austrostipa pubescens,graminoid
Austrostipa scabra,graminoid
Austrostipa setacea,graminoid
Billardiera scandens,climber_woody
Bolboschoenus caldwellii,graminoid
Bothriochloa decipiens,graminoid
Brachyscome graminea,herb
Cardamine lilacina,herb
Cassytha glabella,climber
Commersonia dasyphylla,shrub
Coronidium scorpioides,herb
Cyperus mirus,graminoid
Cyperus polystachyos,graminoid
Deyeuxia quadriseta,graminoid
Dichelachne rara,graminoid
Digitaria ramularis,graminoid
Diuris sulphurea,herb
Dysphania littoralis,herb
Echinochloa telmatophila,graminoid
Einadia nutans,herb
Eleocharis acuta,graminoid
Eragrostis elongata,graminoid
Eragrostis parviflora,graminoid
Eucalyptus sideroxylon,tree
Euchiton japonicus,herb
Euphorbia drummondii,herb
Exocarpos strictus,shrub
Gompholobium glabratum,shrub
Gonocarpus tetragynus,subshrub
Goodenia bellidifolia,herb
Goodenia ovata,shrub
Isotoma fluviatilis,herb
Juncus continuus,graminoid
Juncus homalocaulis,graminoid
Juncus mollis,graminoid
Juncus polyanthemus,graminoid
Juncus procerus,graminoid
Juncus remotiflorus,graminoid
Juncus vaginatus,graminoid
Lachnagrostis aemula,graminoid
Lepidosperma lineare,graminoid
Lomandra fluviatilis,herb
Maireana microphylla,shrub
Mitrasacme polymorpha,herb
Omphacomeria acerba,shrub
Opercularia aspera,subshrub
Panicum effusum,graminoid
Parsonsia straminea,climber_woody
Paspalidium aversum,graminoid
Paspalum vaginatum,graminoid
Picris angustifolia,herb
Plantago varia,herb
Poa affinis,graminoid
Poa labillardierei,graminoid
Polygala japonica,subshrub
Pomaderris lanigera,tree
Pultenaea retusa,shrub
Ranunculus lappaceus,herb
Rytidosperma bipartitum,graminoid
Rytidosperma longifolium,graminoid
Rytidosperma racemosum,graminoid
Senecio bathurstianus,herb
Senecio linearifolius,subshrub
Senecio quadridentatus,herb
Sphaeromorphaea australis,herb
Sporobolus elongatus,graminoid
Syncarpia glomulifera,tree
Thelymitra pauciflora,herb
Tricoryne elatior,herb
Tricoryne simplex,herb
Typha domingensis,graminoid
Urochloa foliosa,graminoid
Veronica calycina,herb
Viola betonicifolia,herb
Vittadinia muelleri,herb
Wahlenbergia capillaris,herb
Wahlenbergia stricta,herb
Microtis,herb
Eragrostis benthamii,graminoid
