taxon_name,life_history
Acacia stricta,perennial
Amphibromus neesii,perennial
Aristida ramosa,perennial
Arthropodium minus,perennial
Arthropodium strictum,perennial
Asterolasia correifolia,perennial
Astroloma humifusum,perennial
Austrostipa pubescens,perennial
Austrostipa scabra,perennial
Austrostipa setacea,perennial
Billardiera scandens,perennial
Bolboschoenus caldwellii,perennial
Bothriochloa decipiens,perennial
Brachyscome graminea,perennial
Cardamine lilacina,annual perennial
Cassytha glabella,perennial
Commersonia dasyphylla,perennial
Coronidium scorpioides,perennial
Cyperus mirus,perennial
Cyperus polystachyos,annual perennial
Deyeuxia quadriseta,perennial
Dichelachne rara,perennial
Digitaria ramularis,perennial
Diuris sulphurea,perennial
Dysphania littoralis,annual short_lived_perennial
Echinochloa telmatophila,annual
Einadia nutans,perennial
Eleocharis acuta,perennial
Eragrostis elongata,annual perennial
Eragrostis parviflora,annual perennial short_lived_perennial
Eucalyptus sideroxylon,perennial
Euchiton japonicus,annual biennial perennial
Euphorbia drummondii,annual perennial short_lived_perennial
Exocarpos strictus,perennial
Gompholobium glabratum,perennial
Gonocarpus tetragynus,perennial
Goodenia bellidifolia,perennial
Goodenia ovata,perennial
Isotoma fluviatilis,perennial
Juncus continuus,perennial
Juncus homalocaulis,perennial
Juncus mollis,perennial
Juncus polyanthemus,perennial
Juncus procerus,perennial
Juncus remotiflorus,perennial
Juncus vaginatus,perennial
Lachnagrostis aemula,annual perennial
Lepidosperma lineare,perennial
Lomandra fluviatilis,perennial
Maireana microphylla,perennial
Mitrasacme polymorpha,perennial
Omphacomeria acerba,perennial
Opercularia aspera,perennial
Panicum effusum,perennial
Parsonsia straminea,perennial
Paspalidium aversum,perennial
Paspalum vaginatum,perennial
Picris angustifolia,annual perennial
Plantago varia,perennial
Poa affinis,perennial
Poa labillardierei,perennial
Polygala japonica,perennial
Pomaderris lanigera,perennial
Pultenaea retusa,perennial
Ranunculus lappaceus,perennial
Rytidosperma bipartitum,perennial
Rytidosperma longifolium,perennial
Rytidosperma racemosum,perennial
Senecio bathurstianus,annual
Senecio linearifolius,perennial
Senecio quadridentatus,perennial
Sphaeromorphaea australis,perennial
Sporobolus elongatus,perennial
Syncarpia glomulifera,perennial
Thelymitra pauciflora,perennial
Tricoryne elatior,perennial
Tricoryne simplex,perennial
Typha domingensis,perennial
Urochloa foliosa,perennial
Veronica calycina,perennial
Viola betonicifolia,perennial
Vittadinia muelleri,perennial
Wahlenbergia capillaris,perennial
Wahlenbergia stricta,perennial
