taxon_name,photosynthetic_pathway
Acacia stricta,c3
Acacia stricta,c3
Acacia stricta,c3
Amphibromus neesii,c3
Amphibromus neesii,c3
Aristida ramosa,c4
Aristida ramosa,c4
Aristida ramosa,c4
Aristida ramosa,c4
Aristida ramosa,c4
Arthropodium minus,c3
Arthropodium minus,cam
Arthropodium strictum,c3
Arthropodium strictum,c3
Arthropodium strictum,c3
Arthropodium strictum,cam
Astroloma humifusum,c3
Astroloma humifusum,c3
Astroloma humifusum,c3
Austrostipa pubescens,c3
Austrostipa pubescens,c3
Austrostipa scabra,c3
Austrostipa scabra,c3
Austrostipa scabra,c3
Austrostipa scabra,c3
Austrostipa scabra,c3
Austrostipa setacea,c3
Austrostipa setacea,c3
Austrostipa setacea,c3
Austrostipa setacea,c4
Billardiera scandens,c3
Billardiera scandens,c3
Billardiera scandens,c3
Billardiera scandens,c3
Billardiera scandens,c3
Bolboschoenus caldwellii,c3
Bolboschoenus caldwellii,c3
Bolboschoenus caldwellii,c3
Bolboschoenus caldwellii,c4
Bothriochloa decipiens,c4
Bothriochloa decipiens,c4
Bothriochloa decipiens,c4
Brachyscome graminea,c3
Brachyscome graminea,c3
Brachyscome graminea,c3
Brachyscome graminea,c3
Cardamine lilacina,c3
Cardamine lilacina,c3
Cardamine lilacina,c3
Cardamine lilacina,c3
Cardamine lilacina,c3
Cardamine lilacina,c3
Cardamine lilacina,c3
Cardamine lilacina,c3
Cardamine lilacina,c3
Cassytha glabella,c3
Cassytha glabella,c3
Cassytha glabella,c3
Commersonia dasyphylla,c3
Coronidium scorpioides,c3
Coronidium scorpioides,c3
Coronidium scorpioides,c3
Coronidium scorpioides,c3
Coronidium scorpioides,c3
Cyperus polystachyos,c4
Cyperus polystachyos,c4
Cyperus polystachyos,c4
Deyeuxia quadriseta,c3
Deyeuxia quadriseta,c3
Deyeuxia quadriseta,c3
Deyeuxia quadriseta,c4
Dichelachne rara,c3
Dichelachne rara,c3
Dichelachne rara,c4
Digitaria parviflora,c4
Digitaria parviflora,c4
Digitaria ramularis,c4
Digitaria ramularis,c4
Diuris sulphurea,c3
Diuris sulphurea,cam
Drosera peltata,c3
Drosera peltata,c3
Drosera peltata,c3
Drosera peltata,c3
Drosera peltata,c3
Echinochloa telmatophila,c4
Echinochloa telmatophila,c4
Einadia nutans,c3
Einadia nutans,c3
Einadia nutans,c3
Eleocharis acuta,c3
Eleocharis acuta,c3
Eleocharis acuta,c4
Eragrostis benthamii,c4
Eragrostis elongata,c4
Eragrostis elongata,c4
Eragrostis elongata,c4
Eragrostis elongata,c4
Eragrostis parviflora,c4
Eragrostis parviflora,c4
Eragrostis parviflora,c4
Eragrostis parviflora,c4
Eragrostis parviflora,c4
Eucalyptus sideroxylon,c3
Euchiton japonicus,c3
Euchiton japonicus,c3
Euchiton japonicus,c3
Euchiton japonicus,c3
Euchiton japonicus,c3
Euphorbia drummondii,c4
Euphorbia drummondii,c4
Euphorbia drummondii,c4
Exocarpos strictus,c3
Exocarpos strictus,c3
Gompholobium glabratum,c3
Gonocarpus tetragynus,c3
