taxon_name,water_association
Acacia stricta,no
Amphibromus neesii,yes
Aristida ramosa,no
Arthropodium minus,no
Arthropodium strictum,no
Asterolasia correifolia,no
Astroloma humifusum,no
Austrostipa pubescens,no
Austrostipa scabra,no
Austrostipa setacea,no
Billardiera scandens,no
Bolboschoenus caldwellii,yes
Bothriochloa decipiens,no
Brachyscome graminea,no
Cardamine lilacina,no
Cassytha glabella,no
Commersonia dasyphylla,no
Coronidium scorpioides,no
Cyperus mirus,yes
Cyperus polystachyos,yes
Deyeuxia quadriseta,yes
Dichelachne rara,no
Digitaria ramularis,no
Diuris sulphurea,no
Dysphania littoralis,no
Echinochloa telmatophila,yes
Einadia nutans,no
Eleocharis acuta,yes
Eragrostis benthamii,no
Eragrostis elongata,no
Eragrostis parviflora,no
Eucalyptus sideroxylon,no
Euchiton japonicus,no
Euphorbia drummondii,no
Exocarpos strictus,no
Gompholobium glabratum,no
Gonocarpus tetragynus,no
Goodenia bellidifolia,no
Goodenia ovata,no
Isotoma fluviatilis,yes
Juncus continuus,yes
Juncus homalocaulis,no
Juncus mollis,yes
Juncus polyanthemus,yes
Juncus procerus,yes
Juncus remotiflorus,yes
Juncus vaginatus,yes
Lachnagrostis aemula,no
Lepidosperma lineare,no
Lomandra fluviatilis,yes
Maireana microphylla,no
Microtis,no
Mitrasacme polymorpha,no
Omphacomeria acerba,no
Opercularia aspera,no
Panicum effusum,no
Parsonsia straminea,no
Paspalidium aversum,yes
Paspalum vaginatum,yes
Picris angustifolia,no
Plantago varia,no
Poa affinis,no
Poa labillardierei,yes
Polygala japonica,no
Pomaderris lanigera,no
Pultenaea retusa,no
Ranunculus lappaceus,no
Rytidosperma bipartitum,no
Rytidosperma longifolium,no
Rytidosperma racemosum,no
Senecio bathurstianus,no
Senecio linearifolius,no
Senecio quadridentatus,no
Sphaeromorphaea australis,no
Sporobolus elongatus,no
Syncarpia glomulifera,no
Thelymitra pauciflora,no
Tricoryne elatior,no
Tricoryne simplex,no
Typha domingensis,yes
Urochloa foliosa,no
Veronica calycina,no
Viola betonicifolia,no
Vittadinia muelleri,no
Wahlenbergia capillaris,no
Wahlenbergia stricta,no
