taxon_name,resprouting_capacity
Acacia stricta,resprouting_possible
Allocasuarina torulosa,resprouting_possible
Amphibromus neesii,fire_killed
Aristida ramosa,resprouting_possible
Arthropodium minus,resprouting_possible
Arthropodium strictum,resprouting_possible
Asterolasia correifolia,fire_killed
Astroloma humifusum,resprouting_possible
Austrostipa pubescens,resprouting_possible
Austrostipa scabra,resprouting_possible
Austrostipa setacea,resprouting_possible
Billardiera scandens,resprouting_possible
Bolboschoenus caldwellii,resprouting_possible
Bothriochloa decipiens,resprouting_possible
Brachyscome graminea,resprouting_possible
Cardamine lilacina,resprouting_possible
Cassytha glabella,fire_killed
Commersonia dasyphylla,fire_killed
Coronidium scorpioides,resprouting_possible
Cyperus polystachyos,resprouting_possible
Deyeuxia quadriseta,resprouting_possible
Dichelachne rara,resprouting_possible
Digitaria ramularis,resprouting_possible
Diuris sulphurea,resprouting_possible
Einadia nutans,fire_killed
Eleocharis acuta,resprouting_possible
Eragrostis elongata,fire_killed
Eragrostis parviflora,fire_killed
Eucalyptus sideroxylon,resprouting_possible
Euphorbia drummondii,fire_killed
Exocarpos strictus,resprouting_possible
Gompholobium glabratum,resprouting_possible
Gonocarpus tetragynus,resprouting_possible
Goodenia bellidifolia,resprouting_possible
Goodenia ovata,resprouting_possible
Juncus continuus,resprouting_possible
Juncus homalocaulis,resprouting_possible
Juncus polyanthemus,resprouting_possible
Juncus procerus,resprouting_possible
Juncus remotiflorus,resprouting_possible
Juncus vaginatus,resprouting_possible
Lachnagrostis aemula,resprouting_possible
Lepidosperma lineare,resprouting_possible
Lomandra fluviatilis,resprouting_possible
Maireana microphylla,fire_killed
Mitrasacme polymorpha,resprouting_possible
Omphacomeria acerba,resprouting_possible
Opercularia aspera,resprouting_possible
Panicum effusum,resprouting_possible
Parsonsia straminea,resprouting_possible
Paspalidium aversum,resprouting_possible
Plantago varia,resprouting_possible
Poa affinis,resprouting_possible
Poa labillardierei,resprouting_possible
Polygala japonica,resprouting_possible
Pomaderris lanigera,resprouting_possible
Pultenaea retusa,fire_killed
Ranunculus lappaceus,resprouting_possible
Rytidosperma bipartitum,resprouting_possible
Rytidosperma longifolium,resprouting_possible
Rytidosperma racemosum,resprouting_possible
Senecio bathurstianus,fire_killed
Senecio linearifolius,fire_killed
Senecio quadridentatus,fire_killed
Sphaeromorphaea australis,fire_killed
Syncarpia glomulifera,resprouting_possible
Thelymitra pauciflora,resprouting_possible
Tricoryne elatior,resprouting_possible
Tricoryne simplex,resprouting_possible
Typha domingensis,resprouting_possible
Urochloa foliosa,fire_killed
Veronica calycina,resprouting_possible
Viola betonicifolia,resprouting_possible
Vittadinia muelleri,resprouting_possible
Wahlenbergia capillaris,resprouting_possible
Wahlenbergia stricta,resprouting_possible
Picris angustifolia,fire_killed
Isotoma fluviatilis,resprouting_possible
Dysphania littoralis,fire_killed
Cyperus mirus,
Juncus mollis,resprouting_possible
Microtis,resprouting_possible
Echinochloa telmatophila,fire_killed
Eragrostis benthamii,
Paspalum vaginatum,resprouting_possible
Sporobolus elongatus,resprouting_possible
