taxon_name,life_history
Acacia binervia,perennial
Acacia brownii,perennial
Acacia decurrens,perennial
Acacia falcata,perennial
Acacia longifolia,perennial
Acacia parramattensis,perennial
Acacia pubescens,perennial
Acacia ulicifolia,perennial
Adiantum aethiopicum,perennial
Alternanthera denticulata,perennial
Amyema gaudichaudii,perennial
Amyema miquelii,perennial
Angophora floribunda,perennial
Anthosachne scabra,perennial
Aristida vagans,perennial
Arthropodium sp. South-east Highlands (N.G.Walsh 811),perennial
Asperula conferta,perennial
Austrostipa rudis,perennial
Boronia polygalifolia,perennial
Bossiaea buxifolia,perennial
Bossiaea prostrata,perennial
Bothriochloa macra,perennial
Brachychiton populneus,perennial
Brachyscome triloba,perennial
Breynia oblongifolia,perennial
Brunoniella australis,perennial
Brunoniella pumilio,perennial
Bursaria spinosa,perennial
Caesia parviflora,perennial
Callistemon linearifolius,perennial
Callistemon linearis,perennial
Callistemon pinifolius,perennial
Callistemon salignus,perennial
Calotis cuneifolia,perennial
Calotis lappulacea,perennial
Carex inversa,perennial
Cassinia sifton,perennial
Cassytha paniculata,perennial
Casuarina glauca,perennial
Centella asiatica,perennial
Centipeda minima,perennial
Cheilanthes sieberi,perennial
Chloris truncata,perennial
Chloris ventricosa,perennial
Chorizema parviflorum,perennial
Chrysocephalum apiculatum,perennial
Clematis aristata,perennial
Clematis glycinoides,perennial
Commelina cyanea,perennial
Correa reflexa,perennial
Cotula australis,perennial
Crassula sieberiana,perennial
Cyanthillium cinereum,annual
Cymbopogon refractus,perennial
Daviesia ulicifolia,perennial
Dendrophthoe vitellina,perennial
Denhamia silvestris,perennial
Desmodium rhytidophyllum,perennial
Desmodium varians,perennial
Dianella caerulea,perennial
Dianella longifolia,perennial
Dianella revoluta,perennial
Dichelachne micrantha,perennial
Dichondra repens,perennial
Digitaria parviflora,perennial
Dillwynia sieberi,perennial
Diuris maculata,perennial
Dodonaea triquetra,perennial
Drosera peltata,perennial
Echinopogon caespitosus,perennial
Echinopogon ovatus,perennial
Einadia hastata,perennial
Einadia polygonoides,perennial
Einadia trigonos,perennial
Entolasia marginata,perennial
Entolasia stricta,perennial
Epilobium billardiereanum,perennial
Eragrostis brownii,perennial
Eragrostis leptostachya,perennial
Eremophila debilis,perennial
Eriochloa pseudoacrotricha,perennial
Eucalyptus amplifolia,perennial
Eucalyptus eugenioides,perennial
Eucalyptus fibrosa,perennial
Eucalyptus globoidea,perennial
Eucalyptus longifolia,perennial
Eucalyptus moluccana,perennial
Eucalyptus punctata,perennial
Eucalyptus resinifera,perennial
Eucalyptus tereticornis,perennial
Euchiton involucratus,perennial
Eustrephus latifolius,perennial
Exocarpos cupressiformis,perennial
Gahnia aspera,perennial
Gahnia melanocarpa,perennial
Geranium solanderi,perennial
Glochidion ferdinandi,perennial
Glossocardia bidens,perennial
Glycine clandestina,perennial
Glycine microphylla,perennial
Glycine tabacina,perennial
Goodenia hederacea,perennial
Goodenia paniculata,perennial
Gratiola pedunculata,perennial
Hakea sericea,perennial
Hardenbergia violacea,perennial
Hibbertia aspera,perennial
Hibbertia diffusa,perennial
Hibbertia pedunculata,perennial
Homalanthus populifolius,perennial
Hovea linearis,perennial
Hydrocotyle sibthorpioides,perennial
Hypericum gramineum,perennial
Hypoxis hygrometrica,perennial
Imperata cylindrica,perennial
Indigofera australis,perennial
Isolepis cernua,perennial
Jacksonia scoparia,perennial
Juncus bufonius,annual
Juncus planifolius,perennial
Juncus subsecundus,perennial
Juncus usitatus,perennial
Kennedia rubicunda,perennial
Kunzea ambigua,perennial
Lachnagrostis filiformis,perennial
Lasiopetalum parviflorum,perennial
Laxmannia gracilis,perennial
Lepidosperma laterale,perennial
Leptospermum polygalifolium,perennial
Leptospermum trinervium,perennial
Leucopogon affinis,perennial
Leucopogon juniperinus,perennial
Linum marginale,perennial
Lissanthe strigosa,perennial
Lobelia anceps,perennial
Lobelia purpurascens,perennial
Lomandra filiformis,perennial
Lomandra longifolia,perennial
Lomandra multiflora,perennial
Lythrum hyssopifolia,annual
Macrozamia spiralis,perennial
Melaleuca decora,perennial
Melaleuca diosmatifolia,perennial
Melaleuca linariifolia,perennial
Melaleuca nodosa,perennial
Melaleuca styphelioides,perennial
Melaleuca thymifolia,perennial
Mentha diemenica,perennial
Microlaena stipoides,perennial
Muellerina eucalyptoides,perennial
Myoporum boninense,perennial
Myrsine variabilis,perennial
Notelaea longifolia,perennial
Notelaea ovata,perennial
Olearia microphylla,perennial
Olearia viscidula,perennial
Opercularia diphylla,perennial
Opercularia varia,perennial
Oplismenus hirtellus,perennial
Oxalis perennans,perennial
Oxalis thompsoniae,perennial
Ozothamnus diosmifolius,perennial
Pandorea pandorana,perennial
Panicum simile,perennial
Paspalidium criniforme,perennial
Paspalidium distans,perennial
Pelargonium inodorum,short_lived_perennial
Pellaea falcata,perennial
Persoonia linearis,perennial
Phragmites australis,perennial
Phyllanthus gunnii,perennial
Pimelea linifolia,perennial
Pittosporum multiflorum,perennial
Pittosporum revolutum,perennial
Pittosporum undulatum,perennial
Plantago debilis,perennial
Plectranthus parviflorus,perennial
Poa sieberiana,perennial
Polymeria calycina,perennial
Polyscias sambucifolia,perennial
Pomaderris ferruginea,perennial
Portulaca oleracea,annual
Pteridium esculentum,perennial
Pterostylis nutans,perennial
Pultenaea villosa,perennial
Rubus parvifolius,perennial
Rumex brownii,perennial
Rytidosperma fulvum,perennial
Rytidosperma setaceum,perennial
Rytidosperma tenuius,perennial
Sarcopetalum harveyanum,perennial
Scaevola albida,perennial
Schoenus apogon,perennial
Senecio hispidulus,perennial
Solenogyne bellioides,perennial
Stackhousia muricata,perennial
Themeda triandra,perennial
Thysanotus tuberosus,perennial
Triglochin striata,perennial
Triptilodiscus pygmaeus,annual
Typha orientalis,perennial
Veronica plebeia,perennial
Vincetoxicum barbatum,perennial
Vittadinia cuneata,perennial
Wahlenbergia gracilis,perennial
Xanthorrhoea minor,perennial
Zieria smithii,perennial
Zornia dyctiocarpa,perennial
Lagenophora sublyrata,perennial
Euchiton sphaericus,annual
Pseudognaphalium luteoalbum,annual
Poranthera microphylla,annual
Persicaria decipiens,perennial
Persicaria lapathifolia,biennial
