Family,Genus,Species with author,taxon_name,Establishment means,Price 1979,Price 1988,Gibson 1992,Mesaglio 2023
Apocynaceae,Parsonsia,Parsonsia straminea (R.Br.) F.Muell.,Parsonsia straminea,native,Yes,No,No,No
Asparagaceae,Arthropodium,Arthropodium minus R.Br.,Arthropodium minus,native,No,Yes,No,No
Asparagaceae,Arthropodium,Arthropodium strictum R.Br.,Arthropodium strictum,native,No,Yes,No,No
Asparagaceae,Lomandra,Lomandra fluviatilis (R.Br.) A.T.Lee,Lomandra fluviatilis,native,Yes,No,No,No
Asteraceae,Brachyscome,Brachyscome graminea (Labill.) F.Muell.,Brachyscome graminea,native,Yes,Yes,No,No
Asteraceae,Coronidium,Coronidium scorpioides (Labill.) Paul G.Wilson,Coronidium scorpioides,native,Yes,Yes,No,No
Asteraceae,Picris,Picris angustifolia DC. ,Picris angustifolia,native,Yes,No,No,No
Asteraceae,Senecio,Senecio bathurstianus (DC.) Sch.Bip.,Senecio bathurstianus,native,No,Yes,No,No
Asteraceae,Senecio,Senecio linearifolius A.Rich.,Senecio linearifolius,native,Yes,Yes,No,No
Asteraceae,Senecio,Senecio quadridentatus Labill.,Senecio quadridentatus,native,Yes,Yes,No,No
Asteraceae,Sphaeromorphaea,Sphaeromorphaea australis (Less.) Kitam.,Sphaeromorphaea australis,native,No,No,Yes,No
Asteraceae,Vittadinia,Vittadinia muelleri N.T.Burb.,Vittadinia muelleri,native,Yes,Yes,No,No
Brassicaceae,Cardamine,Cardamine lilacina Hook.,Cardamine lilacina,native,Yes,No,No,No
Campanulaceae,Isotoma,Isotoma fluviatilis (R.Br.) F.Muell. ex Benth. ,Isotoma fluviatilis,native,Yes,Yes,No,No
Campanulaceae,Wahlenbergia,Wahlenbergia capillaris (G.Lodd.) G.Don,Wahlenbergia capillaris,native,Yes,Yes,No,No
Campanulaceae,Wahlenbergia,Wahlenbergia stricta (R.Br.) Sweet,Wahlenbergia stricta,native,Yes,Yes,No,No
Casuarinaceae,Allocasuarina,Allocasuarina torulosa (Aiton) L.A.S.Johnson,Allocasuarina torulosa,native,Yes,Yes,No,No
Chenopodiaceae,Dysphania,Dysphania littoralis R.Br.,Dysphania littoralis,native,Yes,Yes,No,No
Chenopodiaceae,Einadia,Einadia nutans (R.Br.) A.J.Scott ,Einadia nutans,native,Yes,Yes,No,No
Chenopodiaceae,Maireana,Maireana microphylla (Moq.) Paul G.Wilson,Maireana microphylla,native,No,Yes,No,No
Cyperaceae,Bolboschoenus,Bolboschoenus caldwellii (V.J.Cook) Soják,Bolboschoenus caldwellii,native,No,No,Yes,No
Cyperaceae,Cyperus,Cyperus mirus C.B.Clarke,Cyperus mirus,native,Yes,Yes,No,No
Cyperaceae,Cyperus,Cyperus polystachyos Rottb.,Cyperus polystachyos,native,No,Yes,No,No
Cyperaceae,Eleocharis,Eleocharis acuta R.Br.,Eleocharis acuta,native,No,No,Yes,No
Cyperaceae,Lepidosperma,Lepidosperma lineare R.Br.,Lepidosperma lineare,native,No,Yes,No,No
Ericaceae,Astroloma,Astroloma humifusum (Cav.) R.Br.,Astroloma humifusum,native,Yes,Yes,No,No
