taxon_name,photosynthetic_pathway
Acacia stricta,c3
Amphibromus neesii,c3
Aristida ramosa,c4
Arthropodium minus,c3
Arthropodium strictum,c3
Astroloma humifusum,c3
Austrostipa pubescens,c3
Austrostipa scabra,c3
Austrostipa setacea,c3
Billardiera scandens,c3
Bolboschoenus caldwellii,c3
Bothriochloa decipiens,c4
Brachyscome graminea,c3
Cardamine lilacina,c3
Cassytha glabella,c3
Commersonia dasyphylla,c3
Coronidium scorpioides,c3
Cyperus polystachyos,c4
Deyeuxia quadriseta,c3
Dichelachne rara,c3
Digitaria ramularis,c4
Diuris sulphurea,c3
Echinochloa telmatophila,c4
Einadia nutans,c3
Eleocharis acuta,c3
Eragrostis elongata,c4
Eragrostis parviflora,c4
Eucalyptus sideroxylon,c3
Euphorbia drummondii,c4
Exocarpos strictus,c3
Gompholobium glabratum,c3
Gonocarpus tetragynus,c3
Goodenia bellidifolia,c3
Goodenia ovata,c3
Juncus continuus,c3
Juncus homalocaulis,c3
Juncus polyanthemus,c3
Juncus procerus,c3
Juncus remotiflorus,c3
Juncus vaginatus,c3
Lachnagrostis aemula,c3
Lepidosperma lineare,c3
Maireana microphylla,c4
Mitrasacme polymorpha,c3
Omphacomeria acerba,c3
Opercularia aspera,c3
Panicum effusum,c4
Parsonsia straminea,c3
Paspalidium aversum,c4
Paspalum vaginatum,c4
Picris angustifolia,c3
Plantago varia,c3
Poa affinis,c3
Poa labillardierei,c3
Polygala japonica,c3
Pomaderris lanigera,c3
Pultenaea retusa,c3
Ranunculus lappaceus,c3
Rytidosperma bipartitum,c3
Rytidosperma longifolium,c3
Rytidosperma racemosum,c3
Senecio bathurstianus,c3
Senecio linearifolius,c3
Senecio quadridentatus,c3
Sphaeromorphaea australis,c3
Sporobolus elongatus,c4
Syncarpia glomulifera,c3
Thelymitra pauciflora,c3
Tricoryne elatior,c3
Typha domingensis,c3
Urochloa foliosa,c4
Veronica calycina,c3
Viola betonicifolia,c3
Vittadinia muelleri,c3
Wahlenbergia capillaris,c3
Wahlenbergia stricta,c3
Lomandra fluviatilis,c3
Isotoma fluviatilis,c3
Allocasuarina torulosa,c3
Dysphania littoralis,c3
Cyperus mirus,c3
Tricoryne simplex,c3
Juncus mollis,c3
Microtis,c3
Eragrostis benthamii,c4
Asterolasia correifolia,c3
