taxon_name,APC_name,family,genus
Acacia binervia,Acacia binervia (J.C.Wendl.) J.F.Macbr.,Fabaceae,Acacia
Acacia brownii,Acacia brownii (Poir.) Steud.,Fabaceae,Acacia
Acacia decurrens,Acacia decurrens Willd.,Fabaceae,Acacia
Acacia falcata,Acacia falcata Willd.,Fabaceae,Acacia
Acacia longifolia,Acacia longifolia (Andrews) Willd.,Fabaceae,Acacia
Acacia parramattensis,Acacia parramattensis Tindale,Fabaceae,Acacia
Acacia pubescens,Acacia pubescens (Vent.) R.Br.,Fabaceae,Acacia
Acacia ulicifolia,Acacia ulicifolia (Salisb.) Court,Fabaceae,Acacia
Adiantum aethiopicum,Adiantum aethiopicum L.,Pteridaceae,Adiantum
Alternanthera denticulata,Alternanthera denticulata R.Br.,Amaranthaceae,Alternanthera
Amyema gaudichaudii,Amyema gaudichaudii (DC.) Tiegh.,Loranthaceae,Amyema
Amyema miquelii,Amyema miquelii (Lehm. ex Miq.) Tiegh.,Loranthaceae,Amyema
Angophora floribunda,Angophora floribunda (Sm.) Sweet,Myrtaceae,Angophora
Anthosachne scabra,Anthosachne scabra (R.Br.) Nevski,Poaceae,Anthosachne
Aristida vagans,Aristida vagans Cav.,Poaceae,Aristida
Arthropodium sp. South-east Highlands (N.G.Walsh 811),Arthropodium sp. South-east Highlands (N.G.Walsh 811) Vic. Herbarium,Asparagaceae,Arthropodium
Asperula conferta,Asperula conferta Hook.f.,Rubiaceae,Asperula
Austrostipa rudis,Austrostipa rudis (Spreng.) S.W.L.Jacobs & J.Everett,Poaceae,Austrostipa
Boronia polygalifolia,Boronia polygalifolia Sm.,Rutaceae,Boronia
Bossiaea buxifolia,Bossiaea buxifolia A.Cunn.,Fabaceae,Bossiaea
Bossiaea prostrata,Bossiaea prostrata R.Br.,Fabaceae,Bossiaea
Bothriochloa macra,Bothriochloa macra (Steud.) S.T.Blake,Poaceae,Bothriochloa
Brachychiton populneus,Brachychiton populneus (Schott & Endl.) R.Br.,Malvaceae,Brachychiton
Brachyscome triloba,Brachyscome triloba Gaudich.,Asteraceae,Brachyscome
Breynia oblongifolia,Breynia oblongifolia (Müll.Arg.) Müll.Arg.,Phyllanthaceae,Breynia
Brunoniella australis,Brunoniella australis (Cav.) Bremek.,Acanthaceae,Brunoniella
Brunoniella pumilio,Brunoniella pumilio (R.Br.) Bremek.,Acanthaceae,Brunoniella
Bursaria spinosa,Bursaria spinosa Cav.,Pittosporaceae,Bursaria
Caesia parviflora,Caesia parviflora R.Br.,Hemerocallidaceae,Caesia
Callistemon linearifolius,Callistemon linearifolius (Link) DC.,Myrtaceae,Callistemon
Callistemon linearis,Callistemon linearis (Schrad. & J.C.Wendl.) Colvill ex Sweet,Myrtaceae,Callistemon
Callistemon pinifolius,Callistemon pinifolius (J.C.Wendl.) Sweet,Myrtaceae,Callistemon
Callistemon salignus,Callistemon salignus (Sm.) Colvill ex Sweet,Myrtaceae,Callistemon
Calotis cuneifolia,Calotis cuneifolia R.Br.,Asteraceae,Calotis
Calotis lappulacea,Calotis lappulacea Benth.,Asteraceae,Calotis
Carex inversa,Carex inversa R.Br.,Cyperaceae,Carex
Cassinia sifton,Cassinia sifton Orchard,Asteraceae,Cassinia
Cassytha paniculata,Cassytha paniculata R.Br.,Lauraceae,Cassytha
Casuarina glauca,Casuarina glauca Sieber ex Spreng.,Casuarinaceae,Casuarina
Centella asiatica,Centella asiatica (L.) Urb.,Apiaceae,Centella
Centipeda minima,Centipeda minima (L.) A.Braun & Asch.,Asteraceae,Centipeda
Cheilanthes sieberi,Cheilanthes sieberi Kunze,Pteridaceae,Cheilanthes
Chloris truncata,Chloris truncata R.Br.,Poaceae,Chloris
Chloris ventricosa,Chloris ventricosa R.Br.,Poaceae,Chloris
Chorizema parviflorum,Chorizema parviflorum Benth.,Fabaceae,Chorizema
Chrysocephalum apiculatum,Chrysocephalum apiculatum (Labill.) Steetz,Asteraceae,Chrysocephalum
Clematis aristata,Clematis aristata R.Br. ex Ker Gawl.,Ranunculaceae,Clematis
Clematis glycinoides,Clematis glycinoides DC.,Ranunculaceae,Clematis
Commelina cyanea,Commelina cyanea R.Br.,Commelinaceae,Commelina
Correa reflexa,Correa reflexa (Labill.) Vent.,Rutaceae,Correa
Cotula australis,Cotula australis (Sieber ex Spreng.) Hook.f.,Asteraceae,Cotula
Crassula sieberiana,Crassula sieberiana (Schult. & Schult.f.) Druce,Crassulaceae,Crassula
Cyanthillium cinereum,Cyanthillium cinereum (L.) H.Rob.,Asteraceae,Cyanthillium
Cymbopogon refractus,Cymbopogon refractus (R.Br.) A.Camus,Poaceae,Cymbopogon
Daviesia ulicifolia,Daviesia ulicifolia Andrews,Fabaceae,Daviesia
Dendrophthoe vitellina,Dendrophthoe vitellina (F.Muell.) Tiegh.,Loranthaceae,Dendrophthoe
Denhamia silvestris,Denhamia silvestris (Lander & L.A.S.Johnson) M.P.Simmons,Celastraceae,Denhamia
Desmodium rhytidophyllum,Desmodium rhytidophyllum F.Muell. ex Benth.,Fabaceae,Desmodium
Desmodium varians,Desmodium varians (Labill.) G.Don,Fabaceae,Desmodium
Dianella caerulea,Dianella caerulea Sims,Hemerocallidaceae,Dianella
Dianella longifolia,Dianella longifolia R.Br.,Hemerocallidaceae,Dianella
Dianella revoluta,Dianella revoluta R.Br.,Hemerocallidaceae,Dianella
Dichelachne micrantha,Dichelachne micrantha (Cav.) Domin,Poaceae,Dichelachne
Dichondra repens,Dichondra repens J.R.Forst. & G.Forst.,Convolvulaceae,Dichondra
Dillwynia sieberi,Dillwynia sieberi Steud.,Fabaceae,Dillwynia
Diuris maculata,Diuris maculata Sm.,Orchidaceae,Diuris
Dodonaea triquetra,Dodonaea triquetra J.C.Wendl.,Sapindaceae,Dodonaea
Echinopogon caespitosus,Echinopogon caespitosus C.E.Hubb.,Poaceae,Echinopogon
Echinopogon ovatus,Echinopogon ovatus (G.Forst.) P.Beauv.,Poaceae,Echinopogon
Einadia hastata,Einadia hastata (R.Br.) A.J.Scott,Chenopodiaceae,Einadia
Einadia polygonoides,Einadia polygonoides (Murr) Paul G.Wilson,Chenopodiaceae,Einadia
Einadia trigonos,Einadia trigonos (Schult.) Paul G.Wilson,Chenopodiaceae,Einadia
Entolasia marginata,Entolasia marginata (R.Br.) Hughes,Poaceae,Entolasia
Entolasia stricta,Entolasia stricta (R.Br.) Hughes,Poaceae,Entolasia
Epilobium billardiereanum,Epilobium billardiereanum Ser.,Onagraceae,Epilobium
Eragrostis brownii,Eragrostis brownii (Kunth) Nees,Poaceae,Eragrostis
Eragrostis leptostachya,Eragrostis leptostachya (R.Br.) Steud.,Poaceae,Eragrostis
Eremophila debilis,Eremophila debilis (Andrews) Chinnock,Scrophulariaceae,Eremophila
Eriochloa pseudoacrotricha,Eriochloa pseudoacrotricha (Stapf ex Thell.) J.M.Black,Poaceae,Eriochloa
Eucalyptus amplifolia,Eucalyptus amplifolia Naudin,Myrtaceae,Eucalyptus
Eucalyptus eugenioides,Eucalyptus eugenioides Sieber ex Spreng.,Myrtaceae,Eucalyptus
Eucalyptus fibrosa,Eucalyptus fibrosa F.Muell.,Myrtaceae,Eucalyptus
Eucalyptus globoidea,Eucalyptus globoidea Blakely,Myrtaceae,Eucalyptus
Eucalyptus longifolia,Eucalyptus longifolia Link,Myrtaceae,Eucalyptus
Eucalyptus moluccana,Eucalyptus moluccana Roxb.,Myrtaceae,Eucalyptus
Eucalyptus punctata,Eucalyptus punctata DC.,Myrtaceae,Eucalyptus
Eucalyptus resinifera,Eucalyptus resinifera J.White,Myrtaceae,Eucalyptus
Eucalyptus tereticornis,Eucalyptus tereticornis Sm.,Myrtaceae,Eucalyptus
Euchiton sphaericus,Euchiton sphaericus (Willd.) Holub,Asteraceae,Euchiton
Eustrephus latifolius,Eustrephus latifolius R.Br.,Asparagaceae,Eustrephus
Exocarpos cupressiformis,Exocarpos cupressiformis Labill.,Santalaceae,Exocarpos
Gahnia aspera,Gahnia aspera (R.Br.) Spreng.,Cyperaceae,Gahnia
Gahnia melanocarpa,Gahnia melanocarpa R.Br.,Cyperaceae,Gahnia
Geranium solanderi,Geranium solanderi Carolin,Geraniaceae,Geranium
Glochidion ferdinandi,Glochidion ferdinandi (Müll.Arg.) F.M.Bailey,Phyllanthaceae,Glochidion
Glossocardia bidens,Glossocardia bidens (Retz.) Veldkamp,Asteraceae,Glossocardia
Glycine clandestina,Glycine clandestina J.C.Wendl.,Fabaceae,Glycine
Glycine microphylla,Glycine microphylla (Benth.) Tindale,Fabaceae,Glycine
Glycine tabacina,Glycine tabacina (Labill.) Benth.,Fabaceae,Glycine
Goodenia hederacea,Goodenia hederacea Sm.,Goodeniaceae,Goodenia
Goodenia paniculata,Goodenia paniculata Sm.,Goodeniaceae,Goodenia
Gratiola pedunculata,Gratiola pedunculata R.Br.,Plantaginaceae,Gratiola
Hakea sericea,Hakea sericea Schrad. & J.C.Wendl.,Proteaceae,Hakea
Hardenbergia violacea,Hardenbergia violacea (Schneev.) Stearn,Fabaceae,Hardenbergia
Hibbertia aspera,Hibbertia aspera DC.,Dilleniaceae,Hibbertia
Hibbertia diffusa,Hibbertia diffusa R.Br. ex DC.,Dilleniaceae,Hibbertia
Hibbertia pedunculata,Hibbertia pedunculata R.Br. ex DC.,Dilleniaceae,Hibbertia
Homalanthus populifolius,Homalanthus populifolius Graham,Euphorbiaceae,Homalanthus
Hydrocotyle sibthorpioides,Hydrocotyle sibthorpioides Lam.,Araliaceae,Hydrocotyle
Hypericum gramineum,Hypericum gramineum G.Forst.,Hypericaceae,Hypericum
Hypoxis hygrometrica,Hypoxis hygrometrica Labill.,Hypoxidaceae,Hypoxis
Imperata cylindrica,Imperata cylindrica (L.) P.Beauv.,Poaceae,Imperata
Indigofera australis,Indigofera australis Willd.,Fabaceae,Indigofera
Isolepis cernua,Isolepis cernua (Vahl) Roem. & Schult.,Cyperaceae,Isolepis
Juncus bufonius,Juncus bufonius L.,Juncaceae,Juncus
Juncus planifolius,Juncus planifolius R.Br.,Juncaceae,Juncus
Juncus subsecundus,Juncus subsecundus N.A.Wakef.,Juncaceae,Juncus
Juncus usitatus,Juncus usitatus L.A.S.Johnson,Juncaceae,Juncus
Kennedia rubicunda,Kennedia rubicunda (Schneev.) Vent.,Fabaceae,Kennedia
Kunzea ambigua,Kunzea ambigua (Sm.) Druce,Myrtaceae,Kunzea
Lachnagrostis filiformis,Lachnagrostis filiformis (G.Forst.) Trin.,Poaceae,Lachnagrostis
Lagenophora sublyrata,Lagenophora sublyrata (Cass.) A.R.Bean & Jian Wang ter,Asteraceae,Lagenophora
Lasiopetalum parviflorum,Lasiopetalum parviflorum Rudge,Malvaceae,Lasiopetalum
Laxmannia gracilis,Laxmannia gracilis R.Br.,Asparagaceae,Laxmannia
Lepidosperma laterale,Lepidosperma laterale R.Br.,Cyperaceae,Lepidosperma
Leptospermum polygalifolium,Leptospermum polygalifolium Salisb.,Myrtaceae,Leptospermum
Leptospermum trinervium,Leptospermum trinervium (J.White) Sm.,Myrtaceae,Leptospermum
Leucopogon affinis,Leucopogon affinis R.Br.,Ericaceae,Leucopogon
Leucopogon juniperinus,Leucopogon juniperinus R.Br.,Ericaceae,Leucopogon
Linum marginale,Linum marginale A.Cunn.,Linaceae,Linum
Lissanthe strigosa,Lissanthe strigosa (Sm.) R.Br.,Ericaceae,Lissanthe
Lobelia anceps,Lobelia anceps L.f.,Campanulaceae,Lobelia
Lobelia purpurascens,Lobelia purpurascens R.Br.,Campanulaceae,Lobelia
Lomandra filiformis,Lomandra filiformis (Thunb.) Britten,Asparagaceae,Lomandra
Lomandra longifolia,Lomandra longifolia Labill.,Asparagaceae,Lomandra
Lomandra multiflora,Lomandra multiflora (R.Br.) Britten,Asparagaceae,Lomandra
Lythrum hyssopifolia,Lythrum hyssopifolia L.,Lythraceae,Lythrum
Macrozamia spiralis,Macrozamia spiralis (Salisb.) Miq.,Zamiaceae,Macrozamia
Melaleuca decora,Melaleuca decora (Salisb.) Britten,Myrtaceae,Melaleuca
Melaleuca diosmatifolia,Melaleuca diosmatifolia Dum.Cours.,Myrtaceae,Melaleuca
Melaleuca linariifolia,Melaleuca linariifolia Sm.,Myrtaceae,Melaleuca
Melaleuca nodosa,Melaleuca nodosa (Sol. ex Gaertn.) Sm.,Myrtaceae,Melaleuca
Melaleuca styphelioides,Melaleuca styphelioides Sm.,Myrtaceae,Melaleuca
Mentha diemenica,Mentha diemenica Spreng.,Lamiaceae,Mentha
Microlaena stipoides,Microlaena stipoides (Labill.) R.Br.,Poaceae,Microlaena
Muellerina eucalyptoides,Muellerina eucalyptoides (DC.) Barlow,Loranthaceae,Muellerina
Myoporum boninense,Myoporum boninense Koidz.,Scrophulariaceae,Myoporum
