"genus_root","taxon_name","original_text","text","life_history_a","life_history_f","parasitic_a","parasitic_f","plant_growth_form_a","plant_growth_form_f","plant_growth_substrate_a","plant_growth_substrate_f","sex_type_a","sex_type_f","stem_growth_habit_a","stem_growth_habit_f","woodiness_a","woodiness_f","source"
"Abelia","Abelia x grandiflora","Description: Evergreen to semi-evergreen mounding shrubs to 2.5 m high, densely branched with arching or sprawling long, wiry twigs, pubescent when young. Bark light brown, peeling when older. Leaves opposite, simple, ovate, 2-5 cm long, shallowly toothed, glossy dark green above, often tinged red, paler beneath, turning bronze in autumn and winter. Calyx-lobes 5, pinkish-bronze, persistent. Corolla caducous, white, sometimes tinged light pink, tubular-campanulate, 5 lobed, 20 mm long, in axillary clusters of 3 to 5. Fruits coriaceous 1-seeded achenes."," evergreen to semi-evergreen mounding shrubs to 2.5 m high, densely branched with arching or sprawling long, wiry twigs, ","perennial","inferred_from_growth_form","","","shrub","shrubs","","","","","sprawling","sprawling","woody","inferred_from_growth_form","PlantNET_flora"
"Acacia","Acacia baileyana","Shrub or tree to 10 m high; d.b.h. to 25 cm; crown spreading. Bark smooth, grey or brown. Branchlets angled towards apices otherwise ± terete, pruinose, glabrous or softly white-pilose; ridges to 0.2 mm high. Young foliage-tips pale blue. Leaves subcoriaceous, blue-grey, glaucous, subsessile with basal pinnae arising ±immediately above pulvinus; rachis (0.3-) 1-2.5 cm long, with 1 prominent orbicular or oblong glabrous gland at base of upper 1-3 pairs of pinnae; interjugary glands absent; pinnae (1-) 2-4 (-6) pairs, 1-2.5 (-3) cm long; pinnules (4-) 8-24 pairs, closely spaced, cultrate to oblong, (3-) 5-8 mm long, 0.7-1.6 mm wide, glabrous, with ± prominent midvein and 1 or 2 ± discernible secondary veins and sometimes lateral veins; apex rounded to subacute. Inflorescences of axillary racemes 3-10 cm long, or terminal false-panicles; axes much longer than the leaves; peduncles 3-7 mm long. Heads globular, 11-25-flowered, golden. Pods 3-10 cm long, 7.5-15 mm wide, coriaceous, bluish at first, later brown to black, glabrous."," shrub or tree to 10 m high; d.b.h. to 25 cm; crown spreading. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","spreading","spreading","woody","inferred_from_growth_form","Flora_of_Australia"
"Acacia","Acacia baileyana","General Biology. Growth form. Shrub/Small tree. Reproduction. Seed. Dispersal. Water, bird, ants, slashing, soil movement, garden refuse. Time to first flowering. 2+ years. Vegetative regeneration strategy. Occasionally resprouts. Does not produce root suckers. Seedbank persistence. Long, 10+ years. Fire response. Fire stimulates mass germination of seed and generally kills adult plants."," general biology. growth form. shrub/small tree. reproduction. seed. dispersal. fire stimulates mass germination of seed and generally kills adult plants. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody","inferred_from_growth_form","Florabase_long"
"Acacia","Acacia baileyana","Tree or shrub, 3-10 m high, leaves silvery, bipinnate; heads 10-25-flowered, in racemes; pods oblong, 8-12(-15) mm wide. Fl. yellow, Jun to Sep. Loam over granite. Woodland."," tree or shrub, 3-10 m high, leaves silvery, bipinnate; ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody","inferred_from_growth_form","Florabase_short"
"Acacia","Acacia baileyana","Description: Erect tree or sometimes shrub 3-10 m high; bark smooth, grey or brown; branchlets terete with ridges, angled towards apices, ± pruinose, hairy or glabrous. Leaves ± sessile on pulvinus, ash grey-green or bluish, with rachis mostly 0.3-2.5 cm long, hairy to glabrous, prominent jugary glands present except at lowermost 1 or 2 pairs of pinnae, interjugary glands absent; pinnae usually 2-4 pairs (range: 1-6 pairs), 1-3 cm long; pinnules mostly 8-24 pairs (sometimes 4-7 on shorter pinnae), closely spaced, narrowly oblong, mostly 3-8 mm long and 0.7-1.6 mm wide, glabrous or occasionally ciliate. Inflorescences 8-36 in axillary racemes with axis 3-10 cm long or in panicles; peduncles 3-7 mm long, glabrous; heads globose, 11-25-flowered, 3.5-7 mm diam., bright yellow. Pods straight or sometimes slightly curved, ± flat, ± straight-sided but often irregularly constricted between seeds, 3-10 cm long, 7.5-15 mm wide, leathery, glabrous, usually ± pruinose; seeds longitudinal; funicle filiform."," erect tree or sometimes shrub 3-10 m high; ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","erect","erect","woody","inferred_from_growth_form","PlantNET_flora"
"Acacia","Acacia baileyana","Description: Shrubs or small trees to 6 m high with a silvery-blue foliage, at first conical with branches to the ground but later develops a short trunk with a rounded canopy; branchlets ridged and somewhat furrowed often pruinose more or less pubescent with short spreading hairs. Leaves bipinnate, glaucous; petiole short, 2-5 mm long; rachis 1-3 cm long, with a gland at the junction of usually only the top few pinnae pairs; pinnae 2-6 pairs, crowded; pinnules 12-20 pairs, linear-oblong, 5-7 mm long, 1-1.5 mm broad, flat, slightly curved usually glabrous but sometimes with a few marginal hairs. Inflorescences in axillary racemes or panicles longer than leaves; flower-heads globular, bright yellow 20-25-flowered; peduncles pruinose, glabrous, c. 6 mm long; flowers 5-merous. Legumes 4-10 cm long, 8-12 mm broad, straight or slightly curved, flattish, brown, pruinose or glaucous when young, margins almost straight or slightly irregularly constricted. Seeds longitudinal in legume; funicle short and filiform, aril small."," shrubs or small trees to 6 m high with a silvery-blue foliage, ","perennial","inferred_from_growth_form","","","shrub tree","shrubs trees","","","","","","","woody","inferred_from_growth_form","SA_flora"
"Acacia","Acacia baileyana","Small tree or sometimes shrub, to 6 m high; bark smooth and brown; branchlets slightly angled and furrowed, with waxy bloom, sometimes hairy. Leaves bipinnate, silvery-blue, glaucous; rachis 1-4 cm long, with a raised gland at the junction of usually the top few pinnae pairs; pinnae in 2-6 pairs, crowded; pinnules in 12-20 pairs, crowded, linear-oblong, mostly 5-7 mm long, 1-1.5 mm wide, shorter towards ends of pinnae, usually glabrous but sometimes with a few marginal hairs, apex acuminate. Inflorescence a raceme; heads globular, 20-25-flowered, bright yellow; peduncles 4-7 mm long. Pod straight or slightly curved, flattish, 4-11 cm long, 8-14 mm wide, irregularly constricted, brown to black, sometimes with waxy or whitish bloom. Flowers Jun.-Sep."," small tree or sometimes shrub, to 6 m high; ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody","inferred_from_growth_form","VIC_flora"
"Acacia","Acacia binervia","Shrub or tree to 16 m high. Bark deeply fissured, flaky, dark grey-brown. Branchlets angular to flattened towards apex, grey or dark grey, puberulous. Young shoots usually very densely clothed with yellow or sometimes silvery hairs. Phyllodes very narrowly elliptic to elliptic, mostly narrowed at both ends, flat, falcate to subfalcate or sometimes straight, normally (4-) 6-14 (-15) cm long, (5-) 7-25 mm wide, thinly coriaceous, subglaucous or glaucous, minutely silvery appressed-pubescent, with 3-5 main veins free to base; minor veins mostly 5-7 per mm, parallel, occasionally anastomosing; gland 1, basal, to 1 mm above pulvinus. Inflorescences racemose; raceme axes normally 1-10 mm long. Spikes 2-6 cm long, pale yellow to golden. Flowers mostly 5-merous; calyx 0.5-0.6 mm long, dissected to ¼ of their length, yellow- to golden- or rarely white-pubescent; corolla 1.5-1.8 mm long, dissected to ¼-one third of their length, glabrous or slightly hairy; ovary pubescent. Pods linear, not moniliform, straight, 3-7 cm long, sharply tapered at apex and base, ±woody, sparsely pubescent, ±resinous. Seeds longitudinal, elliptic-oblong, 4-4.5 mm long, black; pleurogram open, without halo."," shrub or tree to 16 m high. ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","","","woody","inferred_from_growth_form","Flora_of_Australia"
"Acacia","Acacia binervia","Description: Erect or spreading tree or shrub 2-16 m high; bark slightly corrugated to fissured, fibrous-flaky, grey or dark brown; branchlets angled or flattened at extremities, usually densely appressed-hairy. Phyllodes narrowly elliptic, subfalcate or falcate, 6-15 cm long (sometimes 4 cm or more long), 5-23 mm wide, subglaucous or glaucous, finely ± appressed-hairy, longitudinal veins numerous, closely-spaced, non-anastomosing, with 3 or rarely more prominent, (4-) 5-7 (-8) veins per mm, apex acute; 1 inconspicuous gland at base; pulvinus 1.5-5 mm long. Phyllodes sometimes elliptic, straight, 3-6 cm long, which may represent young or atypical growth. Inflorescences 1-5 in axil of phyllodes or on an axillary axis usually 1-10 mm long (which often grows out into a phyllodinous shoot); peduncles 2-7 mm long, hairy; heads cylindrical, 2-6 cm long, pale to bright yellow. Pods straight to slightly curved, flat but slightly raised over seeds, straight-sided to slightly, or occasionally more deeply, constricted between seeds, 2-8.5 cm long, 2.5-5 mm wide, firmly papery, obscurely finely veined, sparsely to moderately clothed with minute appressed hairs; seeds longitudinal; funicle filiform."," erect or spreading tree or shrub 2-16 m high; ","perennial","inferred_from_growth_form","","","shrub tree","shrub tree","","","","","erect spreading","erect spreading","woody","inferred_from_growth_form","PlantNET_flora"
"Acacia","Acacia binervia","Tree, to 16 m high; bark furrowed and fibrous. Phyllodes elliptic to narrowly elliptic, 4-8 cm long, 11-18 mm wide, straight or falcate, flat, acute or with hooked, knob-like mucro, glaucous; 3 veins prominent with numerous longitudinal secondary veins, none reticulate, covered with fine, white-grey appressed hairs; gland small, basal. Spikes 1-several per axil, 2-6 cm long, pale to mid yellow, often on short axillary shoot; rachis densely pubescent, often growing out into a phyllodinous shoot; peduncle to 5 mm long; flowers 5-merous, dense; sepals united, often woolly. Pods narrow-linear, 5-8 cm long, 3-5 mm wide. Flower-buds in May (Victoria)."," tree, to 16 m high; ","perennial","inferred_from_growth_form","","","tree","tree","","","","","","","woody","inferred_from_growth_form","VIC_flora"
