taxon_name,APC_name,family,genus,max_max_height,dispersal,growth_habit,life_history,photosynthetic_pathway,fire_response,water_association
Acacia binervia,Acacia binervia (J.C.Wendl.) J.F.Macbr.,Fabaceae,Acacia,16,zoochory,tree,perennial,c3,fire_killed,no
Acacia brownii,Acacia brownii (Poir.) Steud.,Fabaceae,Acacia,1,zoochory,shrub,perennial,c3,resprouting_possible,no
Acacia decurrens,Acacia decurrens Willd.,Fabaceae,Acacia,15,myrmecochory,tree,perennial,c3,fire_killed,no
Acacia falcata,Acacia falcata Willd.,Fabaceae,Acacia,5,zoochory,tree,perennial,c3,fire_killed,no
Acacia longifolia,Acacia longifolia (Andrews) Willd.,Fabaceae,Acacia,10,myrmecochory,tree,perennial,c3,fire_killed,no
Acacia parramattensis,Acacia parramattensis Tindale,Fabaceae,Acacia,15,myrmecochory,tree,perennial,c3,fire_killed,no
Acacia pubescens,Acacia pubescens (Vent.) R.Br.,Fabaceae,Acacia,5,myrmecochory,shrub,perennial,c3,resprouting_possible,no
Acacia ulicifolia,Acacia ulicifolia (Salisb.) Court,Fabaceae,Acacia,2.19,myrmecochory,shrub,perennial,c3,resprouting_possible,no
Adiantum aethiopicum,Adiantum aethiopicum L.,Pteridaceae,Adiantum,0.5,anemochory,fern,perennial,c3,resprouting_possible,no
Alternanthera denticulata,Alternanthera denticulata R.Br.,Amaranthaceae,Alternanthera,0.9,hydrochory,herb,perennial,c3,fire_killed,yes
Amyema miquelii,Amyema miquelii (Lehm. ex Miq.) Tiegh.,Loranthaceae,Amyema,NA,endozoochory,shrub,perennial,c3,resprouting_possible,no
Angophora floribunda,Angophora floribunda (Sm.) Sweet,Myrtaceae,Angophora,30,mixed,tree,perennial,c3,resprouting_possible,no
Anthosachne scabra,Anthosachne scabra (R.Br.) Nevski,Poaceae,Anthosachne,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Aristida vagans,Aristida vagans Cav.,Poaceae,Aristida,0.8,epizoochory,graminoid,perennial,c4,resprouting_possible,no
Asperula conferta,Asperula conferta Hook.f.,Rubiaceae,Asperula,0.3,barochory,herb,perennial,c3,resprouting_possible,no
Austrostipa rudis,Austrostipa rudis (Spreng.) S.W.L.Jacobs & J.Everett,Poaceae,Austrostipa,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Boronia polygalifolia,Boronia polygalifolia Sm.,Rutaceae,Boronia,0.6,ballistic,shrub,perennial,c3,resprouting_possible,no
Bossiaea buxifolia,Bossiaea buxifolia A.Cunn.,Fabaceae,Bossiaea,1.3,zoochory,shrub,perennial,c3,resprouting_possible,no
Bossiaea prostrata,Bossiaea prostrata R.Br.,Fabaceae,Bossiaea,1.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no
Bothriochloa macra,Bothriochloa macra (Steud.) S.T.Blake,Poaceae,Bothriochloa,1,epizoochory,graminoid,perennial,c4,resprouting_possible,no
Brachychiton populneus,Brachychiton populneus (Schott & Endl.) R.Br.,Malvaceae,Brachychiton,20,epizoochory,tree,perennial,c3,resprouting_possible,no
Breynia oblongifolia,Breynia oblongifolia (Müll.Arg.) Müll.Arg.,Phyllanthaceae,Breynia,8,myrmecochory,shrub,perennial,c3,resprouting_possible,no
Brunoniella australis,Brunoniella australis (Cav.) Bremek.,Acanthaceae,Brunoniella,0.2,barochory,herb,perennial,c3,resprouting_possible,no
Brunoniella pumilio,Brunoniella pumilio (R.Br.) Bremek.,Acanthaceae,Brunoniella,0.09,barochory,herb,perennial,c3,resprouting_possible,no
Bursaria spinosa,Bursaria spinosa Cav.,Pittosporaceae,Bursaria,12,anemochory,tree,perennial,c3,resprouting_possible,no
