taxon_name,dispersal
Acacia stricta,myrmecochory
Allocasuarina torulosa,anemochory
Amphibromus neesii,epizoochory
Aristida ramosa,epizoochory
Arthropodium minus,barochory
Arthropodium strictum,barochory
Astroloma humifusum,endozoochory
Austrostipa pubescens,epizoochory
Austrostipa scabra,epizoochory
Austrostipa setacea,epizoochory
Billardiera scandens,endozoochory
Bolboschoenus caldwellii,endozoochory
Bothriochloa decipiens,anemochory
Brachyscome graminea,zoochory
Cardamine lilacina,epizoochory
Cassytha glabella,endozoochory
Commersonia dasyphylla,myrmecochory
Coronidium scorpioides,anemochory
Cyperus polystachyos,hydrochory
Deyeuxia quadriseta,epizoochory
Dichelachne rara,epizoochory
Digitaria parviflora,anemochory
Digitaria ramularis,anemochory
Diuris sulphurea,anemochory
Drosera peltata,mixed
Echinochloa telmatophila,anemochory
Einadia nutans,endozoochory
Eleocharis acuta,hydrochory
Eragrostis benthamii,anemochory
Eragrostis elongata,epizoochory
Eragrostis parviflora,barochory
Eucalyptus sideroxylon,anemochory
Euchiton japonicus,anemochory
Euphorbia drummondii,barochory
Exocarpos strictus,endozoochory
Gompholobium glabratum,myrmecochory
Gonocarpus tetragynus,barochory
Goodenia bellidifolia,myrmecochory
Goodenia ovata,myrmecochory
Hovea longifolia,myrmecochory
Hypericum japonicum,anemochory
Jacksonia scoparia,epizoochory
Juncus continuus,epizoochory
Juncus homalocaulis,mixed
Juncus polyanthemus,epizoochory
Juncus procerus,epizoochory
Juncus remotiflorus,epizoochory
Juncus vaginatus,mixed
Lachnagrostis aemula,epizoochory
Lepidosperma lineare,myrmecochory
Maireana microphylla,anemochory
Mitrasacme polymorpha,barochory
Omphacomeria acerba,endozoochory
Opercularia aspera,myrmecochory
Panicum effusum,anemochory
Parsonsia straminea,anemochory
Paspalidium aversum,epizoochory
Paspalum vaginatum,epizoochory
Picris angustifolia,anemochory
Plantago varia,barochory
Poa affinis,epizoochory
Poa labillardierei,epizoochory
Polygala japonica,mixed
Pomaderris ferruginea,myrmecochory
Pomaderris lanigera,myrmecochory
Pultenaea retusa,myrmecochory
Ranunculus lappaceus,mixed
Rytidosperma bipartitum,epizoochory
Rytidosperma longifolium,epizoochory
Rytidosperma racemosum,epizoochory
Senecio bathurstianus,anemochory
Senecio linearifolius,anemochory
Senecio quadridentatus,anemochory
Sphaeromorphaea australis,epizoochory
Sporobolus elongatus,epizoochory
Syncarpia glomulifera,anemochory
Thelymitra pauciflora,anemochory
Tricoryne elatior,barochory
Typha domingensis,anemochory
Urochloa foliosa,anemochory
Veronica calycina,barochory
Viola betonicifolia,myrmecochory
Vittadinia muelleri,anemochory
Wahlenbergia capillaris,mixed
Wahlenbergia stricta,barochory
Asterolasia correifolia,myrmecochory
Cyperus mirus,hydrochory
Dysphania littoralis,mixed
Isotoma fluviatilis,epizoochory
Juncus mollis,mixed
Lomandra fluviatilis,mixed
Microtis sp.,anemochory
Tricoryne simplex,barochory
