taxon_name,APC_name,genus,family,max_max_height,dispersal,growth_form,life_history,photosynthetic_pathway,fire_response,water_association
Acacia stricta,Acacia stricta (Andrews) Willd.,Acacia,Fabaceae,6,myrmecochory,tree,perennial,c3,resprouting_possible,no
Allocasuarina torulosa,Allocasuarina torulosa (Aiton) L.A.S.Johnson,Allocasuarina,Casuarinaceae,30,anemochory,tree,perennial,c3,resprouting_possible,no
Amphibromus neesii,Amphibromus neesii Steud.,Amphibromus,Poaceae,1.5,epizoochory,graminoid,perennial,c3,fire_killed,yes
Aristida ramosa,Aristida ramosa R.Br.,Aristida,Poaceae,1.2,epizoochory,graminoid,perennial,c4,resprouting_possible,no
Arthropodium minus,Arthropodium minus R.Br.,Arthropodium,Asparagaceae,0.5,barochory,herb,perennial,c3,resprouting_possible,no
Arthropodium strictum,Arthropodium strictum R.Br.,Arthropodium,Asparagaceae,1.2,barochory,herb,perennial,c3,resprouting_possible,no
Asterolasia correifolia,Asterolasia correifolia (A.Juss.) Benth.,Asterolasia,Rutaceae,2,myrmecochory,shrub,perennial,c3,fire_killed,no
Astroloma humifusum,Astroloma humifusum (Cav.) R.Br.,Astroloma,Ericaceae,0.7,endozoochory,shrub,perennial,c3,resprouting_possible,no
Austrostipa pubescens,Austrostipa pubescens (R.Br.) S.W.L.Jacobs & J.Everett,Austrostipa,Poaceae,1.5,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Austrostipa scabra,Austrostipa scabra (Lindl.) S.W.L.Jacobs & J.Everett,Austrostipa,Poaceae,0.95,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Austrostipa setacea,Austrostipa setacea (R.Br.) S.W.L.Jacobs & J.Everett,Austrostipa,Poaceae,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Billardiera scandens,Billardiera scandens Sm.,Billardiera,Pittosporaceae,3,endozoochory,climber_woody,perennial,c3,resprouting_possible,no
Bolboschoenus caldwellii,Bolboschoenus caldwellii (V.J.Cook) Soják,Bolboschoenus,Cyperaceae,1.2,endozoochory,graminoid,perennial,c3,resprouting_possible,yes
Bothriochloa decipiens,Bothriochloa decipiens (Hack.) C.E.Hubb.,Bothriochloa,Poaceae,2,anemochory,graminoid,perennial,c4,resprouting_possible,no
Brachyscome graminea,Brachyscome graminea (Labill.) F.Muell.,Brachyscome,Asteraceae,0.7,zoochory,herb,perennial,c3,resprouting_possible,no
Cardamine lilacina,Cardamine lilacina Hook.,Cardamine,Brassicaceae,0.5,epizoochory,herb,perennial,c3,resprouting_possible,no
Commersonia dasyphylla,Commersonia dasyphylla Andrews,Commersonia,Malvaceae,4,myrmecochory,shrub,perennial,c3,fire_killed,no
Coronidium scorpioides,Coronidium scorpioides (Labill.) Paul G.Wilson,Coronidium,Asteraceae,0.5,anemochory,herb,perennial,c3,resprouting_possible,no
Cyperus polystachyos,Cyperus polystachyos Rottb.,Cyperus,Cyperaceae,0.6,hydrochory,graminoid,perennial,c4,fire_killed,yes
Deyeuxia quadriseta,Deyeuxia quadriseta (Labill.) Benth.,Deyeuxia,Poaceae,1.5,epizoochory,graminoid,perennial,c3,resprouting_possible,yes
Dichelachne rara,Dichelachne rara (R.Br.) Vickery,Dichelachne,Poaceae,1.3,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Digitaria parviflora,Digitaria parviflora (R.Br.) Hughes,Digitaria,Poaceae,1.5,anemochory,graminoid,perennial,c4,resprouting_possible,no
Digitaria ramularis,Digitaria ramularis (Trin.) Henrard,Digitaria,Poaceae,1,anemochory,graminoid,perennial,c4,resprouting_possible,no
Diuris sulphurea,Diuris sulphurea R.Br.,Diuris,Orchidaceae,0.6,anemochory,herb,perennial,c3,resprouting_possible,no
Drosera peltata,Drosera peltata Thunb.,Drosera,Droseraceae,0.8,mixed,herb,perennial,c3,resprouting_possible,yes
Dysphania littoralis,Dysphania littoralis R.Br.,Dysphania,Chenopodiaceae,0.1,mixed,herb,short_lived_perennial,c3,fire_killed,no
Echinochloa telmatophila,Echinochloa telmatophila P.W.Michael & Vickery,Echinochloa,Poaceae,2,anemochory,graminoid,annual,c4,NA,yes
Einadia nutans,Einadia nutans (R.Br.) A.J.Scott,Einadia,Chenopodiaceae,0.6,endozoochory,shrub,perennial,c3,fire_killed,no
Eleocharis acuta,Eleocharis acuta R.Br.,Eleocharis,Cyperaceae,0.9,hydrochory,graminoid,perennial,c3,resprouting_possible,yes
Eragrostis benthamii,Eragrostis benthamii Mattei,Eragrostis,Poaceae,0.6,anemochory,graminoid,perennial,c4,resprouting_possible,no
Eragrostis elongata,Eragrostis elongata (Willd.) J.Jacq.,Eragrostis,Poaceae,0.9,epizoochory,graminoid,perennial,c4,fire_killed,no
Eragrostis parviflora,Eragrostis parviflora (R.Br.) Trin.,Eragrostis,Poaceae,1.35,barochory,graminoid,perennial,c4,fire_killed,no
Eucalyptus sideroxylon,Eucalyptus sideroxylon A.Cunn. ex Woolls,Eucalyptus,Myrtaceae,35,anemochory,tree,perennial,c3,resprouting_possible,no
Euchiton japonicus,Euchiton japonicus (Thunb.) Holub,Euchiton,Asteraceae,0.4,anemochory,herb,perennial,c3,resprouting_possible,no
Euphorbia drummondii,Euphorbia drummondii Boiss.,Euphorbia,Euphorbiaceae,0.3,barochory,herb,perennial,c4,fire_killed,no
Exocarpos strictus,Exocarpos strictus R.Br.,Exocarpos,Santalaceae,6,endozoochory,shrub,perennial,c3,resprouting_possible,no
Gompholobium glabratum,Gompholobium glabratum DC.,Gompholobium,Fabaceae,0.4,myrmecochory,shrub,perennial,c3,resprouting_possible,no
Gonocarpus tetragynus,Gonocarpus tetragynus Labill.,Gonocarpus,Haloragaceae,0.3,barochory,herb,perennial,c3,resprouting_possible,no
Goodenia bellidifolia,Goodenia bellidifolia Sm.,Goodenia,Goodeniaceae,0.6,myrmecochory,herb,perennial,c3,resprouting_possible,no
Goodenia ovata,Goodenia ovata Sm.,Goodenia,Goodeniaceae,2.5,myrmecochory,shrub,perennial,c3,resprouting_possible,no
Hovea longifolia,Hovea longifolia R.Br.,Hovea,Fabaceae,3,myrmecochory,shrub,perennial,c3,resprouting_possible,no
Hypericum japonicum,Hypericum japonicum Thunb.,Hypericum,Hypericaceae,0.15,anemochory,herb,perennial,c3,resprouting_possible,yes
Isotoma fluviatilis,Isotoma fluviatilis (R.Br.) F.Muell. ex Benth.,Isotoma,Campanulaceae,0.1,epizoochory,herb,perennial,c3,resprouting_possible,yes
Jacksonia scoparia,Jacksonia scoparia R.Br.,Jacksonia,Fabaceae,3,epizoochory,tree,perennial,c3,resprouting_possible,no
Juncus homalocaulis,Juncus homalocaulis F.Muell. ex Benth.,Juncus,Juncaceae,0.4,mixed,graminoid,perennial,c3,resprouting_possible,no
Juncus polyanthemus,Juncus polyanthemus Buchenau,Juncus,Juncaceae,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,yes
Juncus procerus,Juncus procerus E.Mey.,Juncus,Juncaceae,2.5,epizoochory,graminoid,perennial,c3,resprouting_possible,yes
Juncus vaginatus,Juncus vaginatus R.Br.,Juncus,Juncaceae,1.7,mixed,graminoid,perennial,c3,resprouting_possible,yes
Lachnagrostis aemula,Lachnagrostis aemula (R.Br.) Trin.,Lachnagrostis,Poaceae,0.8,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Lepidosperma lineare,Lepidosperma lineare R.Br.,Lepidosperma,Cyperaceae,0.6,myrmecochory,graminoid,perennial,c3,resprouting_possible,no
Maireana microphylla,Maireana microphylla (Moq.) Paul G.Wilson,Maireana,Chenopodiaceae,1,anemochory,shrub,perennial,c4,fire_killed,no
Mitrasacme polymorpha,Mitrasacme polymorpha R.Br.,Mitrasacme,Loganiaceae,0.3,barochory,herb,perennial,c3,resprouting_possible,no
Omphacomeria acerba,Omphacomeria acerba (R.Br.) A.DC.,Omphacomeria,Santalaceae,1.5,endozoochory,shrub,perennial,c3,resprouting_possible,no
Opercularia aspera,Opercularia aspera Gaertn.,Opercularia,Rubiaceae,1,myrmecochory,subshrub,perennial,c3,resprouting_possible,no
Panicum effusum,Panicum effusum R.Br.,Panicum,Poaceae,1,anemochory,graminoid,perennial,c4,resprouting_possible,no
Parsonsia straminea,Parsonsia straminea (R.Br.) F.Muell.,Parsonsia,Apocynaceae,10,anemochory,climber_woody,perennial,c3,resprouting_possible,no
Paspalidium aversum,Paspalidium aversum Vickery,Paspalidium,Poaceae,0.9,epizoochory,graminoid,perennial,c4,resprouting_possible,yes
Paspalum vaginatum,Paspalum vaginatum Sw.,Paspalum,Poaceae,0.6,epizoochory,graminoid,perennial,c4,resprouting_possible,yes
Picris angustifolia,Picris angustifolia DC.,Picris,Asteraceae,1.4,anemochory,herb,perennial,c3,no_significant_fire_response,no
Plantago varia,Plantago varia R.Br.,Plantago,Plantaginaceae,0.2,barochory,herb,perennial,c3,resprouting_possible,no
Poa affinis,Poa affinis R.Br.,Poa,Poaceae,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,no
Poa labillardierei,Poa labillardierei Steud.,Poa,Poaceae,1.2,epizoochory,graminoid,perennial,c3,resprouting_possible,yes
