taxon_name,resprouting_capacity
Acacia binervia,fire_killed
Acacia brownii,resprouting_possible
Acacia decurrens,resprouting_possible
Acacia falcata,fire_killed
Acacia longifolia,fire_killed
Acacia parramattensis,fire_killed
Acacia pubescens,resprouting_possible
Acacia ulicifolia,resprouting_possible
Adiantum aethiopicum,resprouting_possible
Alternanthera denticulata,fire_killed
Amyema gaudichaudii,fire_killed
Amyema miquelii,resprouting_possible
Angophora floribunda,resprouting_possible
Anthosachne scabra,resprouting_possible
Aristida vagans,resprouting_possible
Arthropodium sp. South-east Highlands (N.G.Walsh 811),resprouting_possible
Asperula conferta,resprouting_possible
Austrostipa rudis,resprouting_possible
Boronia polygalifolia,resprouting_possible
Bossiaea buxifolia,resprouting_possible
Bossiaea prostrata,resprouting_possible
Bothriochloa macra,resprouting_possible
Brachychiton populneus,resprouting_possible
Brachyscome triloba,resprouting_possible
Breynia oblongifolia,resprouting_possible
Brunoniella australis,resprouting_possible
Brunoniella pumilio,resprouting_possible
Bursaria spinosa,resprouting_possible
Caesia parviflora,resprouting_possible
Callistemon linearis,resprouting_possible
Callistemon pinifolius,resprouting_possible
Callistemon salignus,resprouting_possible
Calotis cuneifolia,resprouting_possible
Calotis lappulacea,resprouting_possible
Carex inversa,resprouting_possible
Cassytha paniculata,fire_killed
Casuarina glauca,resprouting_possible
Centella asiatica,resprouting_possible
Centipeda minima,fire_killed
Cheilanthes sieberi,resprouting_possible
Chloris truncata,resprouting_possible
Chloris ventricosa,resprouting_possible
Chorizema parviflorum,resprouting_possible
Chrysocephalum apiculatum,resprouting_possible
Clematis aristata,resprouting_possible
Clematis glycinoides,resprouting_possible
Commelina cyanea,resprouting_possible
Correa reflexa,resprouting_possible
Cotula australis,fire_killed
Crassula sieberiana,resprouting_possible
Cyanthillium cinereum,fire_killed
Cymbopogon refractus,resprouting_possible
Daviesia ulicifolia,resprouting_possible
Dendrophthoe vitellina,fire_killed
Denhamia silvestris,resprouting_possible
Desmodium rhytidophyllum,resprouting_possible
Desmodium varians,resprouting_possible
Dianella caerulea,resprouting_possible
Dianella longifolia,resprouting_possible
Dianella revoluta,resprouting_possible
Dichelachne micrantha,resprouting_possible
Dichondra repens,resprouting_possible
Digitaria parviflora,resprouting_possible
Dillwynia sieberi,resprouting_possible
Diuris maculata,resprouting_possible
Dodonaea triquetra,resprouting_possible
Drosera peltata,resprouting_possible
Echinopogon caespitosus,resprouting_possible
Echinopogon ovatus,resprouting_possible
Einadia hastata,fire_killed
Einadia polygonoides,fire_killed
Einadia trigonos,fire_killed
Entolasia marginata,resprouting_possible
Entolasia stricta,resprouting_possible
Epilobium billardiereanum,resprouting_possible
Eragrostis brownii,resprouting_possible
Eragrostis leptostachya,resprouting_possible
Eremophila debilis,resprouting_possible
Eriochloa pseudoacrotricha,fire_killed
Eucalyptus amplifolia,resprouting_possible
Eucalyptus eugenioides,resprouting_possible
Eucalyptus fibrosa,resprouting_possible
Eucalyptus globoidea,resprouting_possible
Eucalyptus longifolia,resprouting_possible
Eucalyptus moluccana,resprouting_possible
Eucalyptus punctata,resprouting_possible
Eucalyptus resinifera,resprouting_possible
Eucalyptus tereticornis,resprouting_possible
Euchiton involucratus,fire_killed
Euchiton sphaericus,fire_killed
Eustrephus latifolius,resprouting_possible
Exocarpos cupressiformis,resprouting_possible
Gahnia aspera,resprouting_possible
Gahnia melanocarpa,resprouting_possible
Geranium solanderi,resprouting_possible
Glochidion ferdinandi,resprouting_possible
Glossocardia bidens,fire_killed
Glycine clandestina,resprouting_possible
Glycine microphylla,resprouting_possible
Glycine tabacina,resprouting_possible
Goodenia hederacea,resprouting_possible
Goodenia paniculata,resprouting_possible
Gratiola pedunculata,resprouting_possible
Hakea sericea,fire_killed
Hardenbergia violacea,resprouting_possible
Hibbertia aspera,resprouting_possible
Hibbertia diffusa,resprouting_possible
Hibbertia pedunculata,resprouting_possible
Homalanthus populifolius,resprouting_possible
Hovea linearis,resprouting_possible
Hydrocotyle sibthorpioides,resprouting_possible
Hypericum gramineum,resprouting_possible
Hypoxis hygrometrica,resprouting_possible
Imperata cylindrica,resprouting_possible
Indigofera australis,resprouting_possible
Isolepis cernua,resprouting_possible
Jacksonia scoparia,resprouting_possible
Juncus bufonius,fire_killed
Juncus planifolius,resprouting_possible
Juncus subsecundus,resprouting_possible
Juncus usitatus,resprouting_possible
Kennedia rubicunda,resprouting_possible
Kunzea ambigua,fire_killed
Lachnagrostis filiformis,resprouting_possible
Lasiopetalum parviflorum,resprouting_possible
Laxmannia gracilis,resprouting_possible
Lepidosperma laterale,resprouting_possible
Leptospermum polygalifolium,resprouting_possible
Leptospermum trinervium,resprouting_possible
Leucopogon affinis,resprouting_possible
Leucopogon juniperinus,resprouting_possible
Linum marginale,resprouting_possible
Lissanthe strigosa,resprouting_possible
Lobelia anceps,resprouting_possible
Lobelia purpurascens,resprouting_possible
Lomandra filiformis,resprouting_possible
Lomandra longifolia,resprouting_possible
Lomandra multiflora,resprouting_possible
Lythrum hyssopifolia,fire_killed
Macrozamia spiralis,resprouting_possible
Melaleuca decora,resprouting_possible
Melaleuca diosmatifolia,resprouting_possible
Melaleuca linariifolia,resprouting_possible
Melaleuca nodosa,resprouting_possible
Melaleuca styphelioides,resprouting_possible
Melaleuca thymifolia,resprouting_possible
Mentha diemenica,resprouting_possible
Microlaena stipoides,resprouting_possible
Muellerina eucalyptoides,resprouting_possible
Myoporum boninense,fire_killed
Myrsine variabilis,resprouting_possible
Notelaea longifolia,resprouting_possible
Notelaea ovata,resprouting_possible
Olearia microphylla,resprouting_possible
Olearia viscidula,resprouting_possible
Opercularia diphylla,resprouting_possible
Opercularia varia,resprouting_possible
Oplismenus hirtellus,resprouting_possible
Oxalis perennans,resprouting_possible
Oxalis thompsoniae,fire_killed
Ozothamnus diosmifolius,resprouting_possible
Pandorea pandorana,resprouting_possible
Panicum simile,resprouting_possible
Paspalidium criniforme,resprouting_possible
Paspalidium distans,resprouting_possible
Pelargonium inodorum,fire_killed
Pellaea falcata,resprouting_possible
Persicaria decipiens,resprouting_possible
Persicaria lapathifolia,resprouting_possible
Persoonia linearis,resprouting_possible
Phragmites australis,resprouting_possible
Phyllanthus gunnii,resprouting_possible
Pimelea linifolia,resprouting_possible
Pittosporum multiflorum,resprouting_possible
Pittosporum revolutum,resprouting_possible
Pittosporum undulatum,resprouting_possible
Plantago debilis,resprouting_possible
Plectranthus parviflorus,fire_killed
Poa sieberiana,resprouting_possible
Polymeria calycina,resprouting_possible
Polyscias sambucifolia,resprouting_possible
Pomaderris ferruginea,fire_killed
Poranthera microphylla,resprouting_possible
Portulaca oleracea,resprouting_possible
Pseudognaphalium luteoalbum,fire_killed
Pteridium esculentum,resprouting_possible
Pterostylis nutans,resprouting_possible
Pultenaea villosa,fire_killed
Rubus parvifolius,resprouting_possible
Rumex brownii,resprouting_possible
Rytidosperma fulvum,resprouting_possible
Rytidosperma setaceum,resprouting_possible
Rytidosperma tenuius,resprouting_possible
Sarcopetalum harveyanum,resprouting_possible
Scaevola albida,fire_killed
Schoenus apogon,resprouting_possible
Senecio hispidulus,resprouting_possible
Solenogyne bellioides,resprouting_possible
Stackhousia muricata,fire_killed
Themeda triandra,resprouting_possible
Thysanotus tuberosus,resprouting_possible
Triglochin striata,resprouting_possible
Triptilodiscus pygmaeus,fire_killed
Typha orientalis,resprouting_possible
Veronica plebeia,resprouting_possible
Vincetoxicum barbatum,resprouting_possible
Vittadinia cuneata,resprouting_possible
Wahlenbergia gracilis,resprouting_possible
Xanthorrhoea minor,resprouting_possible
Zieria smithii,resprouting_possible
Zornia dyctiocarpa,resprouting_possible
Callistemon linearifolius,resprouting_possible
Cassinia sifton ,fire_killed
Lagenophora sublyrata ,resprouting_possible
