taxon_name,life_history
Acacia stricta,perennial
Acacia stricta,perennial
Acacia stricta,perennial
Acacia stricta,perennial
Acacia stricta,perennial
Acacia stricta,perennial
Acacia stricta,perennial
Acacia stricta,perennial
Acacia stricta,perennial
Allocasuarina torulosa,perennial
Allocasuarina torulosa,perennial
Allocasuarina torulosa,perennial
Allocasuarina torulosa,perennial
Allocasuarina torulosa,perennial
Allocasuarina torulosa,perennial
Amphibromus neesii,perennial
Amphibromus neesii,perennial
Amphibromus neesii,annual short_lived_perennial
Amphibromus neesii,perennial
Amphibromus neesii,perennial
Amphibromus neesii,perennial
Amphibromus neesii,perennial
Amphibromus neesii,perennial
Amphibromus neesii,perennial
Amphibromus neesii,perennial
Aristida ramosa,perennial
Aristida ramosa,perennial
Aristida ramosa,perennial
Aristida ramosa,perennial
Aristida ramosa,perennial
Aristida ramosa,perennial
Aristida ramosa,perennial
Aristida ramosa,perennial
Arthropodium minus,perennial
Arthropodium minus,perennial
Arthropodium minus,perennial
Arthropodium minus,perennial
Arthropodium minus,perennial
Arthropodium minus,perennial
Arthropodium minus,perennial
Arthropodium minus,perennial
Arthropodium minus,perennial
Arthropodium strictum,perennial
Arthropodium strictum,perennial
Arthropodium strictum,perennial
Arthropodium strictum,perennial
Arthropodium strictum,perennial
Arthropodium strictum,perennial
Arthropodium strictum,perennial
Arthropodium strictum,perennial
Arthropodium strictum,perennial
Arthropodium strictum,perennial
Asterolasia correifolia,perennial
Asterolasia correifolia,perennial
Asterolasia correifolia,perennial
Asterolasia correifolia,perennial
Astroloma humifusum,perennial
Astroloma humifusum,perennial
Astroloma humifusum,perennial
Astroloma humifusum,perennial
Astroloma humifusum,perennial
Astroloma humifusum,perennial
Astroloma humifusum,perennial
Astroloma humifusum,perennial
Astroloma humifusum,perennial
Austrostipa pubescens,perennial
Austrostipa pubescens,perennial
Austrostipa pubescens,perennial
Austrostipa pubescens,perennial
Austrostipa scabra,perennial
Austrostipa scabra,perennial
Austrostipa scabra,biennial
Austrostipa scabra,perennial
Austrostipa scabra,perennial
Austrostipa scabra,perennial
Austrostipa scabra,perennial
Austrostipa scabra,perennial
Austrostipa scabra,perennial
Austrostipa setacea,perennial
Austrostipa setacea,perennial
Austrostipa setacea,perennial
Austrostipa setacea,perennial
Austrostipa setacea,perennial
Austrostipa setacea,perennial
Billardiera scandens,perennial
Billardiera scandens,perennial
Billardiera scandens,perennial
Billardiera scandens,perennial
Billardiera scandens,perennial
Billardiera scandens,perennial
Billardiera scandens,perennial
Billardiera scandens,perennial
Billardiera scandens,perennial
Billardiera scandens,perennial
Bolboschoenus caldwellii,perennial
Bolboschoenus caldwellii,perennial
Bolboschoenus caldwellii,perennial
Bolboschoenus caldwellii,perennial
Bolboschoenus caldwellii,perennial
Bolboschoenus caldwellii,perennial
Bolboschoenus caldwellii,perennial
Bolboschoenus caldwellii,perennial
Bolboschoenus caldwellii,perennial
Bothriochloa decipiens,perennial
Bothriochloa decipiens,perennial
Bothriochloa decipiens,perennial
Bothriochloa decipiens,perennial
Bothriochloa decipiens,perennial
Bothriochloa decipiens,perennial
Brachyscome graminea,perennial
Brachyscome graminea,perennial
Brachyscome graminea,perennial
Brachyscome graminea,perennial
Brachyscome graminea,perennial
Cardamine lilacina,annual perennial
Cardamine lilacina,perennial
Cardamine lilacina,perennial
Cardamine lilacina,perennial
Cardamine lilacina,annual perennial
Cardamine lilacina,short_lived_perennial
Cardamine lilacina,annual
Cardamine lilacina,annual perennial
Cardamine lilacina,annual perennial
Cardamine lilacina,perennial
Cassytha glabella,perennial
Cassytha glabella,perennial
Cassytha glabella,perennial
Cassytha glabella,perennial
Cassytha glabella,perennial
Cassytha glabella,perennial
Cassytha glabella,perennial
Cassytha glabella,perennial
Cassytha glabella,perennial
Cassytha glabella,perennial
Cassytha glabella,perennial
Cassytha glabella,perennial
Commersonia dasyphylla,perennial
Commersonia dasyphylla,perennial
Commersonia dasyphylla,perennial
Coronidium scorpioides,perennial
Coronidium scorpioides,perennial
Coronidium scorpioides,perennial
Cyperus mirus,perennial
Cyperus mirus,perennial
Cyperus mirus,perennial
Cyperus mirus,perennial
Cyperus polystachyos,perennial
Cyperus polystachyos,annual perennial
Cyperus polystachyos,annual perennial
Cyperus polystachyos,annual perennial
Cyperus polystachyos,annual perennial
Cyperus polystachyos,annual
Cyperus polystachyos,perennial
Cyperus polystachyos,annual perennial
Deyeuxia quadriseta,perennial
Deyeuxia quadriseta,perennial
Deyeuxia quadriseta,perennial
Deyeuxia quadriseta,perennial
Deyeuxia quadriseta,perennial
Deyeuxia quadriseta,perennial
Deyeuxia quadriseta,perennial
Deyeuxia quadriseta,perennial
Deyeuxia quadriseta,perennial
Deyeuxia quadriseta,perennial
Deyeuxia quadriseta,perennial
Deyeuxia quadriseta,perennial
Deyeuxia quadriseta,perennial
Deyeuxia quadriseta,perennial
Dichelachne rara,perennial
Dichelachne rara,short_lived_perennial
Dichelachne rara,perennial
Dichelachne rara,perennial
Dichelachne rara,annual perennial
Dichelachne rara,perennial
Dichelachne rara,perennial
Dichelachne rara,perennial
Digitaria parviflora,perennial
Digitaria parviflora,perennial
Digitaria parviflora,perennial
Digitaria ramularis,perennial
Digitaria ramularis,perennial
Digitaria ramularis,perennial
Diuris sulphurea,perennial
Diuris sulphurea,perennial
Diuris sulphurea,perennial
Diuris sulphurea,perennial
Diuris sulphurea,perennial
Drosera peltata,perennial
Drosera peltata,perennial
Drosera peltata,perennial
Drosera peltata,perennial
Drosera peltata,perennial
Drosera peltata,perennial
Drosera peltata,perennial
Drosera peltata,perennial
Dysphania littoralis,annual
Dysphania littoralis,annual biennial
Dysphania littoralis,annual
Dysphania littoralis,annual perennial
Dysphania littoralis,annual short_lived_perennial
Dysphania littoralis,annual
Echinochloa telmatophila,annual
Echinochloa telmatophila,annual
Echinochloa telmatophila,annual
Echinochloa telmatophila,annual
Einadia nutans,perennial
Einadia nutans,short_lived_perennial
Einadia nutans,perennial
Einadia nutans,perennial
Einadia nutans,perennial
Einadia nutans,perennial
Einadia nutans,perennial
Einadia nutans,perennial
Einadia nutans,perennial
Einadia nutans,perennial
Einadia nutans,perennial
Einadia nutans,perennial
Eleocharis acuta,perennial
Eleocharis acuta,perennial
Eleocharis acuta,perennial
Eleocharis acuta,perennial
Eleocharis acuta,perennial
Eleocharis acuta,perennial
Eleocharis acuta,perennial
Eleocharis acuta,perennial
Eleocharis acuta,annual
Eleocharis acuta,perennial
Eleocharis acuta,perennial
Eleocharis acuta,perennial
Eragrostis benthamii,perennial
Eragrostis benthamii,perennial
Eragrostis elongata,perennial
Eragrostis elongata,perennial
Eragrostis elongata,annual perennial
Eragrostis elongata,annual perennial
Eragrostis elongata,perennial
Eragrostis elongata,perennial
Eragrostis elongata,perennial
Eragrostis elongata,perennial
Eragrostis parviflora,annual perennial
Eragrostis parviflora,short_lived_perennial
Eragrostis parviflora,biennial
Eragrostis parviflora,annual perennial
Eragrostis parviflora,annual perennial
Eragrostis parviflora,annual
Eragrostis parviflora,annual perennial
Eragrostis parviflora,annual short_lived_perennial
Eragrostis parviflora,annual perennial
Eucalyptus sideroxylon,perennial
Eucalyptus sideroxylon,perennial
Eucalyptus sideroxylon,perennial
Eucalyptus sideroxylon,perennial
Euchiton japonicus,short_lived_perennial
Euchiton japonicus,perennial
Euchiton japonicus,perennial
Euchiton japonicus,perennial
Euchiton japonicus,perennial
Euchiton japonicus,perennial
Euchiton japonicus,biennial perennial
Euchiton japonicus,perennial
Euchiton japonicus,perennial
Euchiton japonicus,annual
Euchiton japonicus,annual perennial
Euchiton japonicus,perennial
Euphorbia drummondii,short_lived_perennial
Euphorbia drummondii,annual
