Family,Genus,Species with author,taxon_name,Establishment means,Price 1979,Price 1988,Gibson 1992,Mesaglio 2023
Acanthaceae,Brunoniella,Brunoniella australis (Cav.) Bremek.,Brunoniella australis,native,Yes,Yes,No,Yes
Acanthaceae,Brunoniella,Brunoniella pumilio (R.Br.) Bremek.,Brunoniella pumilio,native,Yes,Yes,No,Yes
Amaranthaceae,Alternanthera,Alternanthera denticulata R.Br.,Alternanthera denticulata,native,Yes,Yes,No,Yes
Apiaceae,Centella,Centella asiatica (L.) Urb.,Centella asiatica,native,No,Yes,No,Yes
Apocynaceae,Vincetoxicum,Vincetoxicum barbatum (R.Br.) Kuntze,Vincetoxicum barbatum,native,Yes,Yes,No,Yes
Araliaceae,Hydrocotyle,Hydrocotyle sibthorpioides Lam.,Hydrocotyle sibthorpioides,native,No,Yes,No,Yes
Araliaceae,Polyscias,Polyscias sambucifolia (Sieber ex DC.) Harms,Polyscias sambucifolia,native,Yes,Yes,No,Yes
Asparagaceae,Arthropodium,Arthropodium sp. South-east Highlands (N.G.Walsh 811) Vic. Herbarium,Arthropodium sp. South-east Highlands (N.G.Walsh 811),native,Yes,Yes,No,Yes
Asparagaceae,Eustrephus,Eustrephus latifolius R.Br.,Eustrephus latifolius,native,Yes,Yes,No,Yes
Asparagaceae,Laxmannia,Laxmannia gracilis R.Br.,Laxmannia gracilis,native,Yes,Yes,No,Yes
Asparagaceae,Lomandra,Lomandra filiformis (Thunb.) Britten,Lomandra filiformis,native,Yes,Yes,No,Yes
Asparagaceae,Lomandra,Lomandra longifolia Labill.,Lomandra longifolia,native,Yes,Yes,No,Yes
Asparagaceae,Lomandra,Lomandra multiflora (R.Br.) Britten ,Lomandra multiflora,native,Yes,Yes,No,Yes
Asparagaceae,Thysanotus,Thysanotus tuberosus R.Br.,Thysanotus tuberosus,native,Yes,Yes,No,Yes
Asteraceae,Brachyscome,Brachyscome triloba Gaudich.,Brachyscome triloba,native,Yes,No,No,Yes
Asteraceae,Calotis,Calotis cuneifolia R.Br.,Calotis cuneifolia,native,Yes,Yes,No,Yes
