family,species_author,taxon_name,mesaglio_2024
Apocynaceae,Parsonsia straminea (R.Br.) F.Muell.,Parsonsia straminea,no
Asparagaceae,Arthropodium minus R.Br.,Arthropodium minus,no
Asparagaceae,Arthropodium strictum R.Br.,Arthropodium strictum,no
Asparagaceae,Lomandra fluviatilis (R.Br.) A.T.Lee,Lomandra fluviatilis,no
Asteraceae,Brachyscome graminea (Labill.) F.Muell.,Brachyscome graminea,no
Asteraceae,Coronidium scorpioides (Labill.) Paul G.Wilson,Coronidium scorpioides,no
Asteraceae,Euchiton japonicus (Thunb.) Holub,Euchiton japonicus,no
Asteraceae,Picris angustifolia DC. ,Picris angustifolia,no
Asteraceae,Senecio bathurstianus (DC.) Sch.Bip.,Senecio bathurstianus,no
Asteraceae,Senecio linearifolius A.Rich.,Senecio linearifolius,no
Asteraceae,Senecio quadridentatus Labill.,Senecio quadridentatus,no
Asteraceae,Sphaeromorphaea australis (Less.) Kitam.,Sphaeromorphaea australis,no
Asteraceae,Vittadinia muelleri N.T.Burb.,Vittadinia muelleri,no
Brassicaceae,Cardamine lilacina Hook.,Cardamine lilacina,no
Campanulaceae,Isotoma fluviatilis (R.Br.) F.Muell. ex Benth.,Isotoma fluviatilis,no
Campanulaceae,Wahlenbergia capillaris (G.Lodd.) G.Don,Wahlenbergia capillaris,no
Campanulaceae,Wahlenbergia stricta (R.Br.) Sweet,Wahlenbergia stricta,no
Chenopodiaceae,Dysphania littoralis R.Br.,Dysphania littoralis,no
Chenopodiaceae,Einadia nutans (R.Br.) A.J.Scott ,Einadia nutans,no
Chenopodiaceae,Maireana microphylla (Moq.) Paul G.Wilson,Maireana microphylla,no
Cyperaceae,Bolboschoenus caldwellii (V.J.Cook) Soják,Bolboschoenus caldwellii,no
Cyperaceae,Cyperus mirus C.B.Clarke,Cyperus mirus,no
Cyperaceae,Cyperus polystachyos Rottb.,Cyperus polystachyos,no
Cyperaceae,Eleocharis acuta R.Br.,Eleocharis acuta,no
Cyperaceae,Lepidosperma lineare R.Br.,Lepidosperma lineare,no
Ericaceae,Astroloma humifusum (Cav.) R.Br.,Astroloma humifusum,no
Euphorbiaceae,Euphorbia drummondii Boiss.,Euphorbia drummondii,no
Fabaceae,Acacia stricta (Andrews) Willd.,Acacia stricta,no
Fabaceae,Gompholobium glabratum DC.,Gompholobium glabratum,no
