taxon_name,source,name,establishment_means
Abelia x grandiflora,Price1979,original,non-native
Acacia baileyana,RawlingsNeff1990,original,non-native
Acacia baileyana,Mesaglio2022,original,non-native
Acacia baileyana,Price1979,original,non-native
Acacia binervia,Price1988,original,native
Acacia binervia,Mesaglio2022,original,native
Acacia binervia,Price1979,original,native
Acacia brownii,Price1988,original,native
Acacia brownii,Mesaglio2022,original,native
Acacia brownii,Price1979,original,native
Acacia decurrens,Price1988,original,native
Acacia decurrens,Mesaglio2022,original,native
Acacia decurrens,Price1979,original,native
Acacia falcata,Price1988,original,native
Acacia falcata,Mesaglio2022,original,native
Acacia falcata,Price1979,original,native
Acacia fimbriata,Mesaglio2022,original,native
Acacia implexa,Mesaglio2022,original,native
Acacia longifolia,Mesaglio2022,original,native
Acacia longifolia ,Price1988,original,native
Acacia longifolia ,Price1979,original,native
Acacia longissima,Mesaglio2022,original,native
Acacia parramattensis,Price1988,original,native
Acacia parramattensis,Mesaglio2022,original,native
Acacia parramattensis,Price1979,original,native
Acacia podalyriifolia,Mesaglio2022,original,non-native
Acacia pubescens,Price1988,original,native
Acacia pubescens,Mesaglio2022,original,native
Acacia pubescens,Price1979,original,native
Acacia stricta,Price1988,original,native
Acacia stricta,Price1979,original,native
Acacia ulicifolia,Price1988,original,native
Acacia ulicifolia,Mesaglio2022,original,native
Acacia ulicifolia,Price1979,original,native
Acer negundo,Mesaglio2022,original,non-native
Adiantum aethiopicum,Price1988,original,native
Adiantum aethiopicum,Mesaglio2022,original,native
Adiantum aethiopicum,Price1979,original,native
Agapanthus africanus,RawlingsNeff1990,original,non-native
Agapanthus praecox,Mesaglio2022,original,non-native
Agapanthus praecox ,RawlingsNeff1990,original,non-native
Agapanthus praecox ,Price1979,original,non-native
Ageratina adenophora,RawlingsNeff1990,original,non-native
Ageratina adenophora,Mesaglio2022,original,non-native
Ageratina adenophora,Price1979,original,non-native
Ageratina riparia,Mesaglio2022,original,non-native
Allocasuarina littoralis,Mesaglio2022,original,native
Allocasuarina torulosa,Price1988,original,native
Allocasuarina torulosa,Price1979,original,native
Alocasia macrorrhizos,RawlingsNeff1990,original,non-native
Aloe maculata,RawlingsNeff1990,amended,non-native
Aloe maculata,Mesaglio2022,original,non-native
Aloe maculata,Price1979,amended,non-native
Alternanthera denticulata,Price1988,original,native
Alternanthera denticulata,Mesaglio2022,original,native
Alternanthera denticulata,Price1979,original,native
Alternanthera philoxeroides,RawlingsNeff1990,original,non-native
Alternanthera philoxeroides,Mesaglio2022,original,non-native
Alternanthera philoxeroides,Price1979,original,non-native
Alternanthera pungens,Mesaglio2022,original,non-native
Alternanthera sp. A Flora of New South Wales (M.Gray 5187) J.Palmer,Mesaglio2022,original,native
Amaranthus hybridus,Price1979,original,non-native
Amaranthus viridis,Mesaglio2022,original,non-native
Amphibromus neesii,Price1979,original,native
Amyema gaudichaudii,Price1988,original,native
Amyema gaudichaudii,Mesaglio2022,original,native
Amyema gaudichaudii,Price1979,original,native
Amyema miquelii,GibsonBell1992,amended,native
Amyema miquelii,Mesaglio2022,original,native
Angophora floribunda,Price1988,original,native
Angophora floribunda,Mesaglio2022,original,native
Angophora floribunda,Price1979,original,native
Anredera cordifolia,RawlingsNeff1990,original,non-native
Anredera cordifolia,Mesaglio2022,original,non-native
Anredera cordifolia,Price1979,original,non-native
Anthosachne scabra,GibsonBell1992,original,native
Anthosachne scabra,Mesaglio2022,original,native
Apium graveolens,RawlingsNeff1990,amended,non-native
Apium graveolens,Mesaglio2022,original,non-native
Apium graveolens,Price1979,original,non-native
